Genome project	Gene stable ID	Caenorhabditis brenneri [WS251] gene stable ID	Homology type
caenorhabditis_elegans	WBGene00000026		
caenorhabditis_elegans	WBGene00000027		
caenorhabditis_elegans	WBGene00000028		
caenorhabditis_elegans	WBGene00000029	WBGene00150272	ortholog_one2many
caenorhabditis_elegans	WBGene00000030	WBGene00150272	ortholog_one2many
caenorhabditis_elegans	WBGene00000031	WBGene00150272	ortholog_one2many
caenorhabditis_elegans	WBGene00000032	WBGene00148671	ortholog_one2many
caenorhabditis_elegans	WBGene00000033	WBGene00148976	ortholog_one2one
caenorhabditis_elegans	WBGene00000034	WBGene00140436	ortholog_one2one
caenorhabditis_elegans	WBGene00000035	WBGene00190708	ortholog_one2one
caenorhabditis_elegans	WBGene00000036	WBGene00154358	ortholog_one2many
caenorhabditis_elegans	WBGene00000036	WBGene00139039	ortholog_one2many
caenorhabditis_elegans	WBGene00000037	WBGene00175041	ortholog_one2one
caenorhabditis_elegans	WBGene00000038	WBGene00191223	ortholog_one2many
caenorhabditis_elegans	WBGene00000038	WBGene00146909	ortholog_one2many
caenorhabditis_elegans	WBGene00000039	WBGene00164493	ortholog_one2one
caenorhabditis_elegans	WBGene00000040	WBGene00152204	ortholog_one2one
caenorhabditis_elegans	WBGene00000041	WBGene00156618	ortholog_one2one
caenorhabditis_elegans	WBGene00000042	WBGene00156787	ortholog_one2one
caenorhabditis_elegans	WBGene00000043	WBGene00141395	ortholog_one2one
caenorhabditis_elegans	WBGene00000044		
caenorhabditis_elegans	WBGene00000045	WBGene00144426	ortholog_one2many
caenorhabditis_elegans	WBGene00000045	WBGene00156911	ortholog_one2many
caenorhabditis_elegans	WBGene00000046	WBGene00190235	ortholog_one2one
caenorhabditis_elegans	WBGene00000047	WBGene00139702	ortholog_one2one
caenorhabditis_elegans	WBGene00000048	WBGene00139661	ortholog_one2one
caenorhabditis_elegans	WBGene00000049	WBGene00149252	ortholog_one2one
caenorhabditis_elegans	WBGene00000050	WBGene00148482	ortholog_one2many
caenorhabditis_elegans	WBGene00000050	WBGene00141041	ortholog_one2many
caenorhabditis_elegans	WBGene00000051	WBGene00142232	ortholog_one2one
caenorhabditis_elegans	WBGene00000053	WBGene00147758	ortholog_one2many
caenorhabditis_elegans	WBGene00000053	WBGene00190745	ortholog_one2many
caenorhabditis_elegans	WBGene00000054	WBGene00163846	ortholog_one2one
caenorhabditis_elegans	WBGene00000055	WBGene00192223	ortholog_one2many
caenorhabditis_elegans	WBGene00000055	WBGene00155698	ortholog_one2many
caenorhabditis_elegans	WBGene00000056	WBGene00145921	ortholog_one2one
caenorhabditis_elegans	WBGene00000057	WBGene00192145	ortholog_one2one
caenorhabditis_elegans	WBGene00000058	WBGene00143107	ortholog_one2one
caenorhabditis_elegans	WBGene00000059		
caenorhabditis_elegans	WBGene00000060	WBGene00149172	ortholog_one2one
caenorhabditis_elegans	WBGene00000061	WBGene00161333	ortholog_one2one
caenorhabditis_elegans	WBGene00000062	WBGene00147753	ortholog_one2many
caenorhabditis_elegans	WBGene00000062	WBGene00138792	ortholog_one2many
caenorhabditis_elegans	WBGene00000063	WBGene00195126	ortholog_one2many
caenorhabditis_elegans	WBGene00000064	WBGene00153714	ortholog_one2many
caenorhabditis_elegans	WBGene00000064	WBGene00195128	ortholog_one2many
caenorhabditis_elegans	WBGene00000065	WBGene00195126	ortholog_one2many
caenorhabditis_elegans	WBGene00000066	WBGene00195125	ortholog_one2many
caenorhabditis_elegans	WBGene00000066	WBGene00195127	ortholog_one2many
caenorhabditis_elegans	WBGene00000067	WBGene00147014	ortholog_one2one
caenorhabditis_elegans	WBGene00000068	WBGene00139513	ortholog_one2one
caenorhabditis_elegans	WBGene00000069	WBGene00193611	ortholog_one2one
caenorhabditis_elegans	WBGene00000070	WBGene00142131	ortholog_one2one
caenorhabditis_elegans	WBGene00000071	WBGene00150513	ortholog_one2one
caenorhabditis_elegans	WBGene00000072	WBGene00161390	ortholog_one2one
caenorhabditis_elegans	WBGene00000073	WBGene00193528	ortholog_one2one
caenorhabditis_elegans	WBGene00000074	WBGene00164245	ortholog_one2one
caenorhabditis_elegans	WBGene00000075	WBGene00161017	ortholog_one2one
caenorhabditis_elegans	WBGene00000079	WBGene00146172	ortholog_one2many
caenorhabditis_elegans	WBGene00000080	WBGene00139137	ortholog_one2one
caenorhabditis_elegans	WBGene00000081	WBGene00158516	ortholog_one2one
caenorhabditis_elegans	WBGene00000082	WBGene00149214	ortholog_one2one
caenorhabditis_elegans	WBGene00000083	WBGene00141247	ortholog_one2one
caenorhabditis_elegans	WBGene00000084	WBGene00151277	ortholog_one2many
caenorhabditis_elegans	WBGene00000084	WBGene00157583	ortholog_one2many
caenorhabditis_elegans	WBGene00000085	WBGene00138823	ortholog_one2one
caenorhabditis_elegans	WBGene00000086	WBGene00139092	ortholog_one2one
caenorhabditis_elegans	WBGene00000088	WBGene00155888	ortholog_one2many
caenorhabditis_elegans	WBGene00000088	WBGene00193771	ortholog_one2many
caenorhabditis_elegans	WBGene00000089	WBGene00190569	ortholog_one2many
caenorhabditis_elegans	WBGene00000089	WBGene00142962	ortholog_one2many
caenorhabditis_elegans	WBGene00000090	WBGene00155593	ortholog_one2many
caenorhabditis_elegans	WBGene00000090	WBGene00142195	ortholog_one2many
caenorhabditis_elegans	WBGene00000092	WBGene00159907	ortholog_one2one
caenorhabditis_elegans	WBGene00000093	WBGene00139293	ortholog_one2one
caenorhabditis_elegans	WBGene00000094		
caenorhabditis_elegans	WBGene00000095	WBGene00160513	ortholog_one2many
caenorhabditis_elegans	WBGene00000095	WBGene00159069	ortholog_one2many
caenorhabditis_elegans	WBGene00000096	WBGene00162662	ortholog_one2many
caenorhabditis_elegans	WBGene00000096	WBGene00140321	ortholog_one2many
caenorhabditis_elegans	WBGene00000097	WBGene00155978	ortholog_one2many
caenorhabditis_elegans	WBGene00000097	WBGene00152637	ortholog_one2many
caenorhabditis_elegans	WBGene00000098	WBGene00155431	ortholog_one2many
caenorhabditis_elegans	WBGene00000098	WBGene00152819	ortholog_one2many
caenorhabditis_elegans	WBGene00000099	WBGene00191430	ortholog_one2many
caenorhabditis_elegans	WBGene00000099	WBGene00153601	ortholog_one2many
caenorhabditis_elegans	WBGene00000099	WBGene00193267	ortholog_one2many
caenorhabditis_elegans	WBGene00000100	WBGene00194196	ortholog_one2one
caenorhabditis_elegans	WBGene00000101	WBGene00191495	ortholog_one2one
caenorhabditis_elegans	WBGene00000102	WBGene00163910	ortholog_one2one
caenorhabditis_elegans	WBGene00000103		
caenorhabditis_elegans	WBGene00000105	WBGene00151382	ortholog_one2one
caenorhabditis_elegans	WBGene00000106		
caenorhabditis_elegans	WBGene00000107	WBGene00149190	ortholog_one2one
caenorhabditis_elegans	WBGene00000108		
caenorhabditis_elegans	WBGene00000109	WBGene00151344	ortholog_one2many
caenorhabditis_elegans	WBGene00000109	WBGene00140465	ortholog_one2many
caenorhabditis_elegans	WBGene00000110	WBGene00154828	ortholog_one2one
caenorhabditis_elegans	WBGene00000111		
caenorhabditis_elegans	WBGene00000112	WBGene00144618	ortholog_one2one
caenorhabditis_elegans	WBGene00000113	WBGene00140440	ortholog_one2one
caenorhabditis_elegans	WBGene00000114	WBGene00148835	ortholog_one2many
caenorhabditis_elegans	WBGene00000114	WBGene00150463	ortholog_one2many
caenorhabditis_elegans	WBGene00000115	WBGene00139116	ortholog_one2one
caenorhabditis_elegans	WBGene00000116	WBGene00140344	ortholog_one2one
caenorhabditis_elegans	WBGene00000117	WBGene00148635	ortholog_one2one
caenorhabditis_elegans	WBGene00000118	WBGene00161115	ortholog_one2one
caenorhabditis_elegans	WBGene00000120	WBGene00146474	ortholog_one2many
caenorhabditis_elegans	WBGene00000120	WBGene00144043	ortholog_one2many
caenorhabditis_elegans	WBGene00000120	WBGene00145501	ortholog_one2many
caenorhabditis_elegans	WBGene00000120	WBGene00160715	ortholog_one2many
caenorhabditis_elegans	WBGene00000120	WBGene00159396	ortholog_one2many
caenorhabditis_elegans	WBGene00000121	WBGene00142928	ortholog_one2one
caenorhabditis_elegans	WBGene00000122	WBGene00156774	ortholog_one2many
caenorhabditis_elegans	WBGene00000122	WBGene00145339	ortholog_one2many
caenorhabditis_elegans	WBGene00000123	WBGene00194515	ortholog_one2one
caenorhabditis_elegans	WBGene00000133	WBGene00154322	ortholog_one2one
caenorhabditis_elegans	WBGene00000134	WBGene00141620	ortholog_one2one
caenorhabditis_elegans	WBGene00000135	WBGene00193129	ortholog_one2many
caenorhabditis_elegans	WBGene00000135	WBGene00150230	ortholog_one2many
caenorhabditis_elegans	WBGene00000136		
caenorhabditis_elegans	WBGene00000137	WBGene00193490	ortholog_one2one
caenorhabditis_elegans	WBGene00000138	WBGene00192643	ortholog_one2many
caenorhabditis_elegans	WBGene00000138	WBGene00160220	ortholog_one2many
caenorhabditis_elegans	WBGene00000139		
caenorhabditis_elegans	WBGene00000140	WBGene00194269	ortholog_one2many
caenorhabditis_elegans	WBGene00000140	WBGene00193220	ortholog_one2many
caenorhabditis_elegans	WBGene00000142	WBGene00151865	ortholog_one2one
caenorhabditis_elegans	WBGene00000143	WBGene00164886	ortholog_one2one
caenorhabditis_elegans	WBGene00000144		
caenorhabditis_elegans	WBGene00000145	WBGene00164496	ortholog_one2one
caenorhabditis_elegans	WBGene00000146	WBGene00153868	ortholog_one2many
caenorhabditis_elegans	WBGene00000146	WBGene00191441	ortholog_one2many
caenorhabditis_elegans	WBGene00000147	WBGene00161363	ortholog_one2many
caenorhabditis_elegans	WBGene00000147	WBGene00147743	ortholog_one2many
caenorhabditis_elegans	WBGene00000148	WBGene00144091	ortholog_one2many
caenorhabditis_elegans	WBGene00000148	WBGene00145104	ortholog_one2many
caenorhabditis_elegans	WBGene00000149	WBGene00155056	ortholog_one2one
caenorhabditis_elegans	WBGene00000150	WBGene00155623	ortholog_one2one
caenorhabditis_elegans	WBGene00000151	WBGene00192262	ortholog_one2one
caenorhabditis_elegans	WBGene00000155	WBGene00194052	ortholog_one2many
caenorhabditis_elegans	WBGene00000155	WBGene00143091	ortholog_one2many
caenorhabditis_elegans	WBGene00000156	WBGene00146816	ortholog_one2many
caenorhabditis_elegans	WBGene00000156	WBGene00150302	ortholog_one2many
caenorhabditis_elegans	WBGene00000157	WBGene00139524	ortholog_one2one
caenorhabditis_elegans	WBGene00000158	WBGene00193483	ortholog_one2one
caenorhabditis_elegans	WBGene00000159	WBGene00140292	ortholog_one2one
caenorhabditis_elegans	WBGene00000160		
caenorhabditis_elegans	WBGene00000161	WBGene00143390	ortholog_one2many
caenorhabditis_elegans	WBGene00000161	WBGene00145266	ortholog_one2many
caenorhabditis_elegans	WBGene00000161	WBGene00161143	ortholog_one2many
caenorhabditis_elegans	WBGene00000161	WBGene00151761	ortholog_one2many
caenorhabditis_elegans	WBGene00000162	WBGene00158738	ortholog_one2many
caenorhabditis_elegans	WBGene00000162	WBGene00159610	ortholog_one2many
caenorhabditis_elegans	WBGene00000163	WBGene00192595	ortholog_one2many
caenorhabditis_elegans	WBGene00000163	WBGene00191055	ortholog_one2many
caenorhabditis_elegans	WBGene00000164	WBGene00146871	ortholog_one2one
caenorhabditis_elegans	WBGene00000165	WBGene00149191	ortholog_one2one
caenorhabditis_elegans	WBGene00000166	WBGene00139861	ortholog_one2one
caenorhabditis_elegans	WBGene00000168	WBGene00157149	ortholog_many2many
caenorhabditis_elegans	WBGene00000168	WBGene00158114	ortholog_many2many
caenorhabditis_elegans	WBGene00000168	WBGene00144022	ortholog_many2many
caenorhabditis_elegans	WBGene00000169	WBGene00163936	ortholog_one2one
caenorhabditis_elegans	WBGene00000170	WBGene00161584	ortholog_one2one
caenorhabditis_elegans	WBGene00000171	WBGene00155031	ortholog_one2many
caenorhabditis_elegans	WBGene00000171	WBGene00159526	ortholog_one2many
caenorhabditis_elegans	WBGene00000172	WBGene00144356	ortholog_one2many
caenorhabditis_elegans	WBGene00000172	WBGene00192566	ortholog_one2many
caenorhabditis_elegans	WBGene00000173	WBGene00140839	ortholog_one2one
caenorhabditis_elegans	WBGene00000174	WBGene00160706	ortholog_one2many
caenorhabditis_elegans	WBGene00000174	WBGene00158203	ortholog_one2many
caenorhabditis_elegans	WBGene00000175	WBGene00158830	ortholog_one2one
caenorhabditis_elegans	WBGene00000176	WBGene00142768	ortholog_one2one
caenorhabditis_elegans	WBGene00000177	WBGene00146235	ortholog_one2many
caenorhabditis_elegans	WBGene00000177	WBGene00157853	ortholog_one2many
caenorhabditis_elegans	WBGene00000178	WBGene00154585	ortholog_one2one
caenorhabditis_elegans	WBGene00000179	WBGene00149950	ortholog_one2one
caenorhabditis_elegans	WBGene00000180	WBGene00162148	ortholog_one2many
caenorhabditis_elegans	WBGene00000180	WBGene00185015	ortholog_one2many
caenorhabditis_elegans	WBGene00000181	WBGene00192477	ortholog_one2many
caenorhabditis_elegans	WBGene00000181	WBGene00158369	ortholog_one2many
caenorhabditis_elegans	WBGene00000182	WBGene00219396	ortholog_one2one
caenorhabditis_elegans	WBGene00000183	WBGene00139174	ortholog_one2one
caenorhabditis_elegans	WBGene00000184	WBGene00164232	ortholog_one2one
caenorhabditis_elegans	WBGene00000185	WBGene00157149	ortholog_many2many
caenorhabditis_elegans	WBGene00000185	WBGene00158114	ortholog_many2many
caenorhabditis_elegans	WBGene00000185	WBGene00144022	ortholog_many2many
caenorhabditis_elegans	WBGene00000186	WBGene00139948	ortholog_one2one
caenorhabditis_elegans	WBGene00000187	WBGene00149601	ortholog_one2many
caenorhabditis_elegans	WBGene00000187	WBGene00192329	ortholog_one2many
caenorhabditis_elegans	WBGene00000188		
caenorhabditis_elegans	WBGene00000189	WBGene00146393	ortholog_one2one
caenorhabditis_elegans	WBGene00000190	WBGene00156938	ortholog_one2many
caenorhabditis_elegans	WBGene00000190	WBGene00192053	ortholog_one2many
caenorhabditis_elegans	WBGene00000192	WBGene00157727	ortholog_one2one
caenorhabditis_elegans	WBGene00000193	WBGene00164364	ortholog_one2one
caenorhabditis_elegans	WBGene00000195	WBGene00149199	ortholog_one2one
caenorhabditis_elegans	WBGene00000196	WBGene00163228	ortholog_one2many
caenorhabditis_elegans	WBGene00000196	WBGene00153633	ortholog_one2many
caenorhabditis_elegans	WBGene00000197	WBGene00161537	ortholog_one2many
caenorhabditis_elegans	WBGene00000197	WBGene00157610	ortholog_one2many
caenorhabditis_elegans	WBGene00000198	WBGene00163814	ortholog_one2one
caenorhabditis_elegans	WBGene00000199	WBGene00140596	ortholog_one2one
caenorhabditis_elegans	WBGene00000200	WBGene00164709	ortholog_one2one
caenorhabditis_elegans	WBGene00000201	WBGene00161191	ortholog_one2one
caenorhabditis_elegans	WBGene00000202	WBGene00153454	ortholog_one2one
caenorhabditis_elegans	WBGene00000203	WBGene00154402	ortholog_one2many
caenorhabditis_elegans	WBGene00000203	WBGene00159691	ortholog_one2many
caenorhabditis_elegans	WBGene00000204	WBGene00159471	ortholog_one2one
caenorhabditis_elegans	WBGene00000205	WBGene00159291	ortholog_one2many
caenorhabditis_elegans	WBGene00000205	WBGene00162674	ortholog_one2many
caenorhabditis_elegans	WBGene00000206	WBGene00151638	ortholog_one2one
caenorhabditis_elegans	WBGene00000207	WBGene00190433	ortholog_one2one
caenorhabditis_elegans	WBGene00000208	WBGene00144401	ortholog_one2one
caenorhabditis_elegans	WBGene00000209	WBGene00153624	ortholog_one2many
caenorhabditis_elegans	WBGene00000209	WBGene00148177	ortholog_one2many
caenorhabditis_elegans	WBGene00000210	WBGene00162958	ortholog_one2one
caenorhabditis_elegans	WBGene00000211	WBGene00146720	ortholog_one2one
caenorhabditis_elegans	WBGene00000212	WBGene00190086	ortholog_one2one
caenorhabditis_elegans	WBGene00000213	WBGene00191738	ortholog_one2many
caenorhabditis_elegans	WBGene00000213	WBGene00161468	ortholog_one2many
caenorhabditis_elegans	WBGene00000214	WBGene00156488	ortholog_one2one
caenorhabditis_elegans	WBGene00000215		
caenorhabditis_elegans	WBGene00000216	WBGene00142600	ortholog_one2one
caenorhabditis_elegans	WBGene00000217	WBGene00161857	ortholog_one2one
caenorhabditis_elegans	WBGene00000218	WBGene00192420	ortholog_one2many
caenorhabditis_elegans	WBGene00000218	WBGene00161291	ortholog_one2many
caenorhabditis_elegans	WBGene00000219		
caenorhabditis_elegans	WBGene00000220	WBGene00144884	ortholog_one2many
caenorhabditis_elegans	WBGene00000220	WBGene00152434	ortholog_one2many
caenorhabditis_elegans	WBGene00000221	WBGene00164338	ortholog_one2one
caenorhabditis_elegans	WBGene00000222	WBGene00152571	ortholog_one2one
caenorhabditis_elegans	WBGene00000223	WBGene00151006	ortholog_one2one
caenorhabditis_elegans	WBGene00000224	WBGene00154309	ortholog_one2one
caenorhabditis_elegans	WBGene00000225	WBGene00146975	ortholog_one2one
caenorhabditis_elegans	WBGene00000226	WBGene00153628	ortholog_one2one
caenorhabditis_elegans	WBGene00000227	WBGene00152145	ortholog_one2many
caenorhabditis_elegans	WBGene00000227	WBGene00142003	ortholog_one2many
caenorhabditis_elegans	WBGene00000228	WBGene00192542	ortholog_one2one
caenorhabditis_elegans	WBGene00000229	WBGene00190940	ortholog_one2one
caenorhabditis_elegans	WBGene00000230	WBGene00148410	ortholog_one2one
caenorhabditis_elegans	WBGene00000231	WBGene00153632	ortholog_one2one
caenorhabditis_elegans	WBGene00000232	WBGene00194971	ortholog_one2one
caenorhabditis_elegans	WBGene00000233	WBGene00139571	ortholog_one2many
caenorhabditis_elegans	WBGene00000235	WBGene00153304	ortholog_one2one
caenorhabditis_elegans	WBGene00000236	WBGene00145964	ortholog_one2many
caenorhabditis_elegans	WBGene00000236	WBGene00144542	ortholog_one2many
caenorhabditis_elegans	WBGene00000237	WBGene00190214	ortholog_one2many
caenorhabditis_elegans	WBGene00000237	WBGene00190331	ortholog_one2many
caenorhabditis_elegans	WBGene00000238	WBGene00193539	ortholog_one2one
caenorhabditis_elegans	WBGene00000239	WBGene00191203	ortholog_one2one
caenorhabditis_elegans	WBGene00000240	WBGene00146898	ortholog_one2many
caenorhabditis_elegans	WBGene00000240	WBGene00145878	ortholog_one2many
caenorhabditis_elegans	WBGene00000241	WBGene00164616	ortholog_one2one
caenorhabditis_elegans	WBGene00000242	WBGene00192844	ortholog_one2one
caenorhabditis_elegans	WBGene00000244	WBGene00144696	ortholog_one2many
caenorhabditis_elegans	WBGene00000244	WBGene00185103	ortholog_one2many
caenorhabditis_elegans	WBGene00000245	WBGene00155830	ortholog_one2one
caenorhabditis_elegans	WBGene00000246	WBGene00156384	ortholog_one2one
caenorhabditis_elegans	WBGene00000247	WBGene00141430	ortholog_one2one
caenorhabditis_elegans	WBGene00000248	WBGene00161941	ortholog_one2one
caenorhabditis_elegans	WBGene00000249	WBGene00141495	ortholog_one2many
caenorhabditis_elegans	WBGene00000249	WBGene00150983	ortholog_one2many
caenorhabditis_elegans	WBGene00000250		
caenorhabditis_elegans	WBGene00000251		
caenorhabditis_elegans	WBGene00000252	WBGene00162941	ortholog_one2many
caenorhabditis_elegans	WBGene00000252	WBGene00160038	ortholog_one2many
caenorhabditis_elegans	WBGene00000253	WBGene00162854	ortholog_one2many
caenorhabditis_elegans	WBGene00000253	WBGene00159126	ortholog_one2many
caenorhabditis_elegans	WBGene00000254	WBGene00149997	ortholog_one2one
caenorhabditis_elegans	WBGene00000255	WBGene00160955	ortholog_one2one
caenorhabditis_elegans	WBGene00000256		
caenorhabditis_elegans	WBGene00000257	WBGene00148831	ortholog_one2one
caenorhabditis_elegans	WBGene00000259	WBGene00195080	ortholog_one2many
caenorhabditis_elegans	WBGene00000259	WBGene00155518	ortholog_one2many
caenorhabditis_elegans	WBGene00000262	WBGene00160400	ortholog_one2one
caenorhabditis_elegans	WBGene00000263	WBGene00154332	ortholog_one2one
caenorhabditis_elegans	WBGene00000264	WBGene00139930	ortholog_one2many
caenorhabditis_elegans	WBGene00000265	WBGene00164603	ortholog_one2one
caenorhabditis_elegans	WBGene00000266	WBGene00152629	ortholog_one2many
caenorhabditis_elegans	WBGene00000266	WBGene00155452	ortholog_one2many
caenorhabditis_elegans	WBGene00000266	WBGene00145413	ortholog_one2many
caenorhabditis_elegans	WBGene00000266	WBGene00152196	ortholog_one2many
caenorhabditis_elegans	WBGene00000267	WBGene00145567	ortholog_one2one
caenorhabditis_elegans	WBGene00000268	WBGene00157495	ortholog_one2one
caenorhabditis_elegans	WBGene00000269		
caenorhabditis_elegans	WBGene00000270	WBGene00184952	ortholog_one2many
caenorhabditis_elegans	WBGene00000270	WBGene00156494	ortholog_one2many
caenorhabditis_elegans	WBGene00000271	WBGene00143129	ortholog_one2one
caenorhabditis_elegans	WBGene00000272	WBGene00140862	ortholog_one2many
caenorhabditis_elegans	WBGene00000272	WBGene00145783	ortholog_one2many
caenorhabditis_elegans	WBGene00000273	WBGene00142403	ortholog_one2one
caenorhabditis_elegans	WBGene00000274	WBGene00162672	ortholog_one2one
caenorhabditis_elegans	WBGene00000275	WBGene00143886	ortholog_one2many
caenorhabditis_elegans	WBGene00000275	WBGene00192327	ortholog_one2many
caenorhabditis_elegans	WBGene00000275	WBGene00152578	ortholog_one2many
caenorhabditis_elegans	WBGene00000276	WBGene00150518	ortholog_one2one
caenorhabditis_elegans	WBGene00000277	WBGene00142556	ortholog_one2one
caenorhabditis_elegans	WBGene00000279	WBGene00145525	ortholog_one2one
caenorhabditis_elegans	WBGene00000280	WBGene00159754	ortholog_one2one
caenorhabditis_elegans	WBGene00000281	WBGene00145682	ortholog_one2one
caenorhabditis_elegans	WBGene00000282	WBGene00140474	ortholog_one2one
caenorhabditis_elegans	WBGene00000283	WBGene00139058	ortholog_one2one
caenorhabditis_elegans	WBGene00000284	WBGene00193333	ortholog_one2many
caenorhabditis_elegans	WBGene00000284	WBGene00193776	ortholog_one2many
caenorhabditis_elegans	WBGene00000285	WBGene00192775	ortholog_one2one
caenorhabditis_elegans	WBGene00000286	WBGene00150331	ortholog_one2one
caenorhabditis_elegans	WBGene00000287	WBGene00150751	ortholog_one2one
caenorhabditis_elegans	WBGene00000288	WBGene00150004	ortholog_one2many
caenorhabditis_elegans	WBGene00000288	WBGene00164211	ortholog_one2many
caenorhabditis_elegans	WBGene00000289	WBGene00147480	ortholog_one2one
caenorhabditis_elegans	WBGene00000292	WBGene00146793	ortholog_one2many
caenorhabditis_elegans	WBGene00000292	WBGene00192347	ortholog_one2many
caenorhabditis_elegans	WBGene00000293	WBGene00158527	ortholog_one2one
caenorhabditis_elegans	WBGene00000294	WBGene00152266	ortholog_one2one
caenorhabditis_elegans	WBGene00000295	WBGene00150053	ortholog_one2one
caenorhabditis_elegans	WBGene00000296	WBGene00164514	ortholog_one2one
caenorhabditis_elegans	WBGene00000298	WBGene00192827	ortholog_one2many
caenorhabditis_elegans	WBGene00000298	WBGene00149063	ortholog_one2many
caenorhabditis_elegans	WBGene00000301	WBGene00157307	ortholog_one2many
caenorhabditis_elegans	WBGene00000301	WBGene00138994	ortholog_one2many
caenorhabditis_elegans	WBGene00000302		
caenorhabditis_elegans	WBGene00000366	WBGene00158587	ortholog_one2one
caenorhabditis_elegans	WBGene00000367	WBGene00147845	ortholog_one2one
caenorhabditis_elegans	WBGene00000368	WBGene00154147	ortholog_one2many
caenorhabditis_elegans	WBGene00000368	WBGene00161481	ortholog_one2many
caenorhabditis_elegans	WBGene00000369	WBGene00157136	ortholog_one2one
caenorhabditis_elegans	WBGene00000370	WBGene00150699	ortholog_one2one
caenorhabditis_elegans	WBGene00000371	WBGene00146490	ortholog_one2many
caenorhabditis_elegans	WBGene00000371	WBGene00151480	ortholog_one2many
caenorhabditis_elegans	WBGene00000372	WBGene00191122	ortholog_many2many
caenorhabditis_elegans	WBGene00000372	WBGene00162595	ortholog_many2many
caenorhabditis_elegans	WBGene00000373		
caenorhabditis_elegans	WBGene00000375	WBGene00164646	ortholog_one2many
caenorhabditis_elegans	WBGene00000375	WBGene00151937	ortholog_one2many
caenorhabditis_elegans	WBGene00000376	WBGene00158204	ortholog_one2many
caenorhabditis_elegans	WBGene00000376	WBGene00153669	ortholog_one2many
caenorhabditis_elegans	WBGene00000377	WBGene00155972	ortholog_one2one
caenorhabditis_elegans	WBGene00000378	WBGene00144180	ortholog_one2many
caenorhabditis_elegans	WBGene00000378	WBGene00157701	ortholog_one2many
caenorhabditis_elegans	WBGene00000379	WBGene00143758	ortholog_one2one
caenorhabditis_elegans	WBGene00000380	WBGene00157961	ortholog_one2one
caenorhabditis_elegans	WBGene00000381	WBGene00145029	ortholog_one2one
caenorhabditis_elegans	WBGene00000382	WBGene00139840	ortholog_one2one
caenorhabditis_elegans	WBGene00000383	WBGene00147663	ortholog_one2many
caenorhabditis_elegans	WBGene00000383	WBGene00159319	ortholog_one2many
caenorhabditis_elegans	WBGene00000386	WBGene00163227	ortholog_one2one
caenorhabditis_elegans	WBGene00000387	WBGene00159392	ortholog_one2many
caenorhabditis_elegans	WBGene00000387	WBGene00148022	ortholog_one2many
caenorhabditis_elegans	WBGene00000387	WBGene00156815	ortholog_one2many
caenorhabditis_elegans	WBGene00000388		
caenorhabditis_elegans	WBGene00000389	WBGene00143609	ortholog_one2many
caenorhabditis_elegans	WBGene00000389	WBGene00163152	ortholog_one2many
caenorhabditis_elegans	WBGene00000390	WBGene00193211	ortholog_one2many
