Genome project	Gene stable ID	Caenorhabditis briggsae [WS251] gene stable ID	Homology type
caenorhabditis_brenneri	WBGene00138763	WBGene00037191	ortholog_one2many
caenorhabditis_brenneri	WBGene00138764	WBGene00034890	ortholog_one2one
caenorhabditis_brenneri	WBGene00138765	WBGene00025826	ortholog_one2many
caenorhabditis_brenneri	WBGene00138766	WBGene00087745	ortholog_one2one
caenorhabditis_brenneri	WBGene00138767	WBGene00030377	ortholog_one2many
caenorhabditis_brenneri	WBGene00138768	WBGene00033171	ortholog_one2one
caenorhabditis_brenneri	WBGene00138769	WBGene00023850	ortholog_one2many
caenorhabditis_brenneri	WBGene00138770	WBGene00038483	ortholog_one2one
caenorhabditis_brenneri	WBGene00138771	WBGene00033478	ortholog_one2many
caenorhabditis_brenneri	WBGene00138772	WBGene00042066	ortholog_one2many
caenorhabditis_brenneri	WBGene00138773	WBGene00026828	ortholog_one2many
caenorhabditis_brenneri	WBGene00138774	WBGene00031141	ortholog_one2one
caenorhabditis_brenneri	WBGene00138775		
caenorhabditis_brenneri	WBGene00138776		
caenorhabditis_brenneri	WBGene00138777	WBGene00040952	ortholog_many2many
caenorhabditis_brenneri	WBGene00138777	WBGene00023600	ortholog_many2many
caenorhabditis_brenneri	WBGene00138778	WBGene00026524	ortholog_one2many
caenorhabditis_brenneri	WBGene00138779		
caenorhabditis_brenneri	WBGene00138780	WBGene00036954	ortholog_one2one
caenorhabditis_brenneri	WBGene00138781		
caenorhabditis_brenneri	WBGene00138782		
caenorhabditis_brenneri	WBGene00138783		
caenorhabditis_brenneri	WBGene00138784		
caenorhabditis_brenneri	WBGene00138785		
caenorhabditis_brenneri	WBGene00138786	WBGene00087552	ortholog_one2many
caenorhabditis_brenneri	WBGene00138787	WBGene00027630	ortholog_one2many
caenorhabditis_brenneri	WBGene00138788		
caenorhabditis_brenneri	WBGene00138789		
caenorhabditis_brenneri	WBGene00138790	WBGene00028646	ortholog_one2one
caenorhabditis_brenneri	WBGene00138791	WBGene00037878	ortholog_one2one
caenorhabditis_brenneri	WBGene00138792	WBGene00028900	ortholog_one2many
caenorhabditis_brenneri	WBGene00138793	WBGene00032437	ortholog_one2many
caenorhabditis_brenneri	WBGene00138794	WBGene00034528	ortholog_one2many
caenorhabditis_brenneri	WBGene00138795		
caenorhabditis_brenneri	WBGene00138796	WBGene00031236	ortholog_one2one
caenorhabditis_brenneri	WBGene00138797	WBGene00032193	ortholog_one2one
caenorhabditis_brenneri	WBGene00138798		
caenorhabditis_brenneri	WBGene00138799	WBGene00031099	ortholog_one2one
caenorhabditis_brenneri	WBGene00138800		
caenorhabditis_brenneri	WBGene00138801	WBGene00031455	ortholog_one2one
caenorhabditis_brenneri	WBGene00138803	WBGene00040695	ortholog_one2one
caenorhabditis_brenneri	WBGene00138804	WBGene00088415	ortholog_one2one
caenorhabditis_brenneri	WBGene00138805		
caenorhabditis_brenneri	WBGene00138806	WBGene00033427	ortholog_one2many
caenorhabditis_brenneri	WBGene00138807	WBGene00024574	ortholog_one2many
caenorhabditis_brenneri	WBGene00138808		
caenorhabditis_brenneri	WBGene00138809		
caenorhabditis_brenneri	WBGene00138810	WBGene00026313	ortholog_one2many
caenorhabditis_brenneri	WBGene00138811	WBGene00024891	ortholog_one2many
caenorhabditis_brenneri	WBGene00138812	WBGene00024380	ortholog_one2many
caenorhabditis_brenneri	WBGene00138813	WBGene00035358	ortholog_one2many
caenorhabditis_brenneri	WBGene00138814	WBGene00028761	ortholog_one2many
caenorhabditis_brenneri	WBGene00138815		
caenorhabditis_brenneri	WBGene00138816	WBGene00030179	ortholog_one2many
caenorhabditis_brenneri	WBGene00138817		
caenorhabditis_brenneri	WBGene00138818	WBGene00033328	ortholog_one2one
caenorhabditis_brenneri	WBGene00138819		
caenorhabditis_brenneri	WBGene00138820	WBGene00031673	ortholog_one2many
caenorhabditis_brenneri	WBGene00138821	WBGene00026110	ortholog_one2one
caenorhabditis_brenneri	WBGene00138823	WBGene00036129	ortholog_one2one
caenorhabditis_brenneri	WBGene00138824		
caenorhabditis_brenneri	WBGene00138825	WBGene00036563	ortholog_one2one
caenorhabditis_brenneri	WBGene00138826		
caenorhabditis_brenneri	WBGene00138827	WBGene00032978	ortholog_one2many
caenorhabditis_brenneri	WBGene00138828	WBGene00028027	ortholog_one2one
caenorhabditis_brenneri	WBGene00138829		
caenorhabditis_brenneri	WBGene00138830	WBGene00032728	ortholog_one2many
caenorhabditis_brenneri	WBGene00138831	WBGene00037931	ortholog_many2many
caenorhabditis_brenneri	WBGene00138831	WBGene00037929	ortholog_many2many
caenorhabditis_brenneri	WBGene00138832		
caenorhabditis_brenneri	WBGene00138833	WBGene00026228	ortholog_one2many
caenorhabditis_brenneri	WBGene00138834	WBGene00032601	ortholog_one2one
caenorhabditis_brenneri	WBGene00138835		
caenorhabditis_brenneri	WBGene00138836		
caenorhabditis_brenneri	WBGene00138837	WBGene00025958	ortholog_one2one
caenorhabditis_brenneri	WBGene00138838	WBGene00041417	ortholog_one2one
caenorhabditis_brenneri	WBGene00138839	WBGene00023746	ortholog_one2many
caenorhabditis_brenneri	WBGene00138840	WBGene00023835	ortholog_one2one
caenorhabditis_brenneri	WBGene00138841	WBGene00039589	ortholog_one2many
caenorhabditis_brenneri	WBGene00138842		
caenorhabditis_brenneri	WBGene00138843	WBGene00039829	ortholog_many2many
caenorhabditis_brenneri	WBGene00138843	WBGene00039222	ortholog_many2many
caenorhabditis_brenneri	WBGene00138843	WBGene00089094	ortholog_many2many
caenorhabditis_brenneri	WBGene00138843	WBGene00034678	ortholog_many2many
caenorhabditis_brenneri	WBGene00138844		
caenorhabditis_brenneri	WBGene00138845	WBGene00025608	ortholog_one2one
caenorhabditis_brenneri	WBGene00138847	WBGene00034474	ortholog_one2many
caenorhabditis_brenneri	WBGene00138848	WBGene00034003	ortholog_one2one
caenorhabditis_brenneri	WBGene00138849	WBGene00023846	ortholog_one2one
caenorhabditis_brenneri	WBGene00138850		
caenorhabditis_brenneri	WBGene00138851	WBGene00033555	ortholog_one2one
caenorhabditis_brenneri	WBGene00138852		
caenorhabditis_brenneri	WBGene00138853	WBGene00040758	ortholog_one2many
caenorhabditis_brenneri	WBGene00138854		
caenorhabditis_brenneri	WBGene00138855	WBGene00034832	ortholog_one2one
caenorhabditis_brenneri	WBGene00138856	WBGene00033723	ortholog_one2many
caenorhabditis_brenneri	WBGene00138857	WBGene00032607	ortholog_one2many
caenorhabditis_brenneri	WBGene00138858		
caenorhabditis_brenneri	WBGene00138859		
caenorhabditis_brenneri	WBGene00138860		
caenorhabditis_brenneri	WBGene00138861	WBGene00036917	ortholog_one2one
caenorhabditis_brenneri	WBGene00138862		
caenorhabditis_brenneri	WBGene00138863	WBGene00028474	ortholog_one2one
caenorhabditis_brenneri	WBGene00138864	WBGene00032085	ortholog_one2many
caenorhabditis_brenneri	WBGene00138865	WBGene00033536	ortholog_one2one
caenorhabditis_brenneri	WBGene00138866	WBGene00028393	ortholog_many2many
caenorhabditis_brenneri	WBGene00138866	WBGene00028396	ortholog_many2many
caenorhabditis_brenneri	WBGene00138866	WBGene00024726	ortholog_many2many
caenorhabditis_brenneri	WBGene00138866	WBGene00028214	ortholog_many2many
caenorhabditis_brenneri	WBGene00138866	WBGene00028249	ortholog_many2many
caenorhabditis_brenneri	WBGene00138866	WBGene00026565	ortholog_many2many
caenorhabditis_brenneri	WBGene00138866	WBGene00024730	ortholog_many2many
caenorhabditis_brenneri	WBGene00138867	WBGene00026182	ortholog_one2one
caenorhabditis_brenneri	WBGene00138868		
caenorhabditis_brenneri	WBGene00138869	WBGene00041829	ortholog_one2many
caenorhabditis_brenneri	WBGene00138869	WBGene00035985	ortholog_one2many
caenorhabditis_brenneri	WBGene00138870		
caenorhabditis_brenneri	WBGene00138871	WBGene00027239	ortholog_one2one
caenorhabditis_brenneri	WBGene00138872		
caenorhabditis_brenneri	WBGene00138875	WBGene00036195	ortholog_one2one
caenorhabditis_brenneri	WBGene00138876		
caenorhabditis_brenneri	WBGene00138877	WBGene00040485	ortholog_one2many
caenorhabditis_brenneri	WBGene00138878		
caenorhabditis_brenneri	WBGene00138879	WBGene00039702	ortholog_one2many
caenorhabditis_brenneri	WBGene00138880		
caenorhabditis_brenneri	WBGene00138881	WBGene00032891	ortholog_one2many
caenorhabditis_brenneri	WBGene00138882	WBGene00034910	ortholog_one2one
caenorhabditis_brenneri	WBGene00138883	WBGene00023959	ortholog_one2one
caenorhabditis_brenneri	WBGene00138884	WBGene00036323	ortholog_one2one
caenorhabditis_brenneri	WBGene00138885		
caenorhabditis_brenneri	WBGene00138886	WBGene00031467	ortholog_one2many
caenorhabditis_brenneri	WBGene00138886	WBGene00031490	ortholog_one2many
caenorhabditis_brenneri	WBGene00138887	WBGene00032837	ortholog_one2one
caenorhabditis_brenneri	WBGene00138888	WBGene00026123	ortholog_one2one
caenorhabditis_brenneri	WBGene00138889	WBGene00038178	ortholog_one2one
caenorhabditis_brenneri	WBGene00138890	WBGene00025485	ortholog_one2many
caenorhabditis_brenneri	WBGene00138891	WBGene00031229	ortholog_one2many
caenorhabditis_brenneri	WBGene00138892	WBGene00041464	ortholog_one2one
caenorhabditis_brenneri	WBGene00138893	WBGene00041452	ortholog_one2one
caenorhabditis_brenneri	WBGene00138894		
caenorhabditis_brenneri	WBGene00138895		
caenorhabditis_brenneri	WBGene00138896	WBGene00042877	ortholog_one2many
caenorhabditis_brenneri	WBGene00138896	WBGene00028804	ortholog_one2many
caenorhabditis_brenneri	WBGene00138897		
caenorhabditis_brenneri	WBGene00138898		
caenorhabditis_brenneri	WBGene00138899	WBGene00037504	ortholog_one2one
caenorhabditis_brenneri	WBGene00138900		
caenorhabditis_brenneri	WBGene00138901	WBGene00041115	ortholog_one2many
caenorhabditis_brenneri	WBGene00138902		
caenorhabditis_brenneri	WBGene00138903		
caenorhabditis_brenneri	WBGene00138904		
caenorhabditis_brenneri	WBGene00138905	WBGene00034189	ortholog_one2many
caenorhabditis_brenneri	WBGene00138905	WBGene00034195	ortholog_one2many
caenorhabditis_brenneri	WBGene00138905	WBGene00086901	ortholog_one2many
caenorhabditis_brenneri	WBGene00138905	WBGene00086898	ortholog_one2many
caenorhabditis_brenneri	WBGene00138906	WBGene00040418	ortholog_one2one
caenorhabditis_brenneri	WBGene00138907	WBGene00027938	ortholog_one2one
caenorhabditis_brenneri	WBGene00138908	WBGene00039586	ortholog_many2many
caenorhabditis_brenneri	WBGene00138908	WBGene00039664	ortholog_many2many
caenorhabditis_brenneri	WBGene00138909		
caenorhabditis_brenneri	WBGene00138910	WBGene00028760	ortholog_one2many
caenorhabditis_brenneri	WBGene00138911	WBGene00034555	ortholog_one2one
caenorhabditis_brenneri	WBGene00138912	WBGene00028621	ortholog_one2one
caenorhabditis_brenneri	WBGene00138913		
caenorhabditis_brenneri	WBGene00138915	WBGene00034269	ortholog_one2one
caenorhabditis_brenneri	WBGene00138916		
caenorhabditis_brenneri	WBGene00138917	WBGene00041465	ortholog_one2one
caenorhabditis_brenneri	WBGene00138918		
caenorhabditis_brenneri	WBGene00138919		
caenorhabditis_brenneri	WBGene00138920	WBGene00024891	ortholog_one2many
caenorhabditis_brenneri	WBGene00138921	WBGene00031317	ortholog_one2one
caenorhabditis_brenneri	WBGene00138922	WBGene00033590	ortholog_many2many
caenorhabditis_brenneri	WBGene00138922	WBGene00033592	ortholog_many2many
caenorhabditis_brenneri	WBGene00138923		
caenorhabditis_brenneri	WBGene00138924	WBGene00029581	ortholog_one2one
caenorhabditis_brenneri	WBGene00138925		
caenorhabditis_brenneri	WBGene00138926	WBGene00026157	ortholog_one2many
caenorhabditis_brenneri	WBGene00138927		
caenorhabditis_brenneri	WBGene00138928		
caenorhabditis_brenneri	WBGene00138929	WBGene00027654	ortholog_one2many
caenorhabditis_brenneri	WBGene00138930		
caenorhabditis_brenneri	WBGene00138931		
caenorhabditis_brenneri	WBGene00138932		
caenorhabditis_brenneri	WBGene00138933		
caenorhabditis_brenneri	WBGene00138934	WBGene00031736	ortholog_one2one
caenorhabditis_brenneri	WBGene00138936		
caenorhabditis_brenneri	WBGene00138937		
caenorhabditis_brenneri	WBGene00138938	WBGene00042283	ortholog_one2many
caenorhabditis_brenneri	WBGene00138939	WBGene00039208	ortholog_one2one
caenorhabditis_brenneri	WBGene00138940		
caenorhabditis_brenneri	WBGene00138941		
caenorhabditis_brenneri	WBGene00138942		
caenorhabditis_brenneri	WBGene00138943	WBGene00029585	ortholog_one2one
caenorhabditis_brenneri	WBGene00138944	WBGene00034153	ortholog_one2many
caenorhabditis_brenneri	WBGene00138945	WBGene00039582	ortholog_one2many
caenorhabditis_brenneri	WBGene00138946	WBGene00031707	ortholog_one2many
caenorhabditis_brenneri	WBGene00138947		
caenorhabditis_brenneri	WBGene00138948		
caenorhabditis_brenneri	WBGene00138949	WBGene00025778	ortholog_one2one
caenorhabditis_brenneri	WBGene00138950		
caenorhabditis_brenneri	WBGene00138951	WBGene00031241	ortholog_one2one
caenorhabditis_brenneri	WBGene00138952	WBGene00032146	ortholog_one2one
caenorhabditis_brenneri	WBGene00138954	WBGene00035642	ortholog_many2many
caenorhabditis_brenneri	WBGene00138954	WBGene00030754	ortholog_many2many
caenorhabditis_brenneri	WBGene00138954	WBGene00030744	ortholog_many2many
caenorhabditis_brenneri	WBGene00138955		
caenorhabditis_brenneri	WBGene00138956	WBGene00028863	ortholog_one2one
caenorhabditis_brenneri	WBGene00138957		
caenorhabditis_brenneri	WBGene00138958	WBGene00025274	ortholog_one2one
caenorhabditis_brenneri	WBGene00138959		
caenorhabditis_brenneri	WBGene00138960	WBGene00032984	ortholog_one2many
caenorhabditis_brenneri	WBGene00138961		
caenorhabditis_brenneri	WBGene00138962	WBGene00037101	ortholog_many2many
caenorhabditis_brenneri	WBGene00138962	WBGene00037097	ortholog_many2many
caenorhabditis_brenneri	WBGene00138963	WBGene00026508	ortholog_one2one
caenorhabditis_brenneri	WBGene00138964		
caenorhabditis_brenneri	WBGene00138965	WBGene00030089	ortholog_one2many
caenorhabditis_brenneri	WBGene00138966	WBGene00025756	ortholog_one2many
caenorhabditis_brenneri	WBGene00138967	WBGene00031681	ortholog_one2many
caenorhabditis_brenneri	WBGene00138968		
caenorhabditis_brenneri	WBGene00138969		
caenorhabditis_brenneri	WBGene00138970	WBGene00033672	ortholog_one2many
caenorhabditis_brenneri	WBGene00138971		
caenorhabditis_brenneri	WBGene00138972		
caenorhabditis_brenneri	WBGene00138973	WBGene00034123	ortholog_one2many
caenorhabditis_brenneri	WBGene00138974		
caenorhabditis_brenneri	WBGene00138975	WBGene00037214	ortholog_one2many
caenorhabditis_brenneri	WBGene00138977	WBGene00028051	ortholog_one2one
caenorhabditis_brenneri	WBGene00138978	WBGene00042376	ortholog_many2many
caenorhabditis_brenneri	WBGene00138978	WBGene00028626	ortholog_many2many
caenorhabditis_brenneri	WBGene00138979	WBGene00024706	ortholog_one2many
caenorhabditis_brenneri	WBGene00138980	WBGene00033072	ortholog_one2many
caenorhabditis_brenneri	WBGene00138981		
caenorhabditis_brenneri	WBGene00138982	WBGene00032371	ortholog_one2one
caenorhabditis_brenneri	WBGene00138983	WBGene00026870	ortholog_one2one
caenorhabditis_brenneri	WBGene00138984	WBGene00026277	ortholog_one2many
caenorhabditis_brenneri	WBGene00138985	WBGene00041484	ortholog_one2many
caenorhabditis_brenneri	WBGene00138986	WBGene00038491	ortholog_one2many
caenorhabditis_brenneri	WBGene00138987		
caenorhabditis_brenneri	WBGene00138988	WBGene00031324	ortholog_one2one
caenorhabditis_brenneri	WBGene00138989	WBGene00032089	ortholog_many2many
caenorhabditis_brenneri	WBGene00138989	WBGene00041801	ortholog_many2many
caenorhabditis_brenneri	WBGene00138989	WBGene00028247	ortholog_many2many
caenorhabditis_brenneri	WBGene00138989	WBGene00028219	ortholog_many2many
caenorhabditis_brenneri	WBGene00138989	WBGene00041797	ortholog_many2many
caenorhabditis_brenneri	WBGene00138989	WBGene00028216	ortholog_many2many
caenorhabditis_brenneri	WBGene00138989	WBGene00088321	ortholog_many2many
caenorhabditis_brenneri	WBGene00138989	WBGene00024732	ortholog_many2many
caenorhabditis_brenneri	WBGene00138989	WBGene00028398	ortholog_many2many
caenorhabditis_brenneri	WBGene00138989	WBGene00041804	ortholog_many2many
caenorhabditis_brenneri	WBGene00138990	WBGene00027356	ortholog_one2one
caenorhabditis_brenneri	WBGene00138991	WBGene00033054	ortholog_one2many
caenorhabditis_brenneri	WBGene00138992		
caenorhabditis_brenneri	WBGene00138993	WBGene00029905	ortholog_one2many
caenorhabditis_brenneri	WBGene00138994	WBGene00035367	ortholog_one2many
caenorhabditis_brenneri	WBGene00138995	WBGene00027058	ortholog_one2many
caenorhabditis_brenneri	WBGene00138995	WBGene00027059	ortholog_one2many
caenorhabditis_brenneri	WBGene00138996	WBGene00032097	ortholog_one2many
caenorhabditis_brenneri	WBGene00138997		
caenorhabditis_brenneri	WBGene00138998	WBGene00037490	ortholog_one2one
caenorhabditis_brenneri	WBGene00138999	WBGene00037697	ortholog_one2one
caenorhabditis_brenneri	WBGene00139000	WBGene00027919	ortholog_one2one
caenorhabditis_brenneri	WBGene00139001		
caenorhabditis_brenneri	WBGene00139002	WBGene00034698	ortholog_one2one
caenorhabditis_brenneri	WBGene00139003	WBGene00034992	ortholog_one2one
caenorhabditis_brenneri	WBGene00139004		
caenorhabditis_brenneri	WBGene00139005	WBGene00042956	ortholog_many2many
caenorhabditis_brenneri	WBGene00139005	WBGene00024001	ortholog_many2many
caenorhabditis_brenneri	WBGene00139006	WBGene00042204	ortholog_many2many
caenorhabditis_brenneri	WBGene00139006	WBGene00026499	ortholog_many2many
caenorhabditis_brenneri	WBGene00139007	WBGene00033766	ortholog_one2many
caenorhabditis_brenneri	WBGene00139008		
caenorhabditis_brenneri	WBGene00139009	WBGene00028818	ortholog_one2many
caenorhabditis_brenneri	WBGene00139010	WBGene00033754	ortholog_one2many
caenorhabditis_brenneri	WBGene00139011	WBGene00040663	ortholog_one2many
caenorhabditis_brenneri	WBGene00139012	WBGene00034868	ortholog_one2one
caenorhabditis_brenneri	WBGene00139013		
caenorhabditis_brenneri	WBGene00139014	WBGene00026574	ortholog_one2many
caenorhabditis_brenneri	WBGene00139015	WBGene00031149	ortholog_one2many
caenorhabditis_brenneri	WBGene00139015	WBGene00031148	ortholog_one2many
caenorhabditis_brenneri	WBGene00139016	WBGene00087793	ortholog_one2one
caenorhabditis_brenneri	WBGene00139017		
caenorhabditis_brenneri	WBGene00139018	WBGene00034004	ortholog_one2one
caenorhabditis_brenneri	WBGene00139019	WBGene00031431	ortholog_one2one
caenorhabditis_brenneri	WBGene00139020	WBGene00036480	ortholog_one2one
caenorhabditis_brenneri	WBGene00139021	WBGene00034977	ortholog_one2one
caenorhabditis_brenneri	WBGene00139022	WBGene00040857	ortholog_one2many
caenorhabditis_brenneri	WBGene00139023	WBGene00029655	ortholog_one2one
caenorhabditis_brenneri	WBGene00139024		
caenorhabditis_brenneri	WBGene00139025		
caenorhabditis_brenneri	WBGene00139026		
caenorhabditis_brenneri	WBGene00139027	WBGene00031411	ortholog_one2many
caenorhabditis_brenneri	WBGene00139028	WBGene00025576	ortholog_one2many
caenorhabditis_brenneri	WBGene00139029	WBGene00028331	ortholog_one2many
caenorhabditis_brenneri	WBGene00139030	WBGene00042023	ortholog_one2many
caenorhabditis_brenneri	WBGene00139031	WBGene00042018	ortholog_one2many
caenorhabditis_brenneri	WBGene00139032		
caenorhabditis_brenneri	WBGene00139033		
caenorhabditis_brenneri	WBGene00139034		
caenorhabditis_brenneri	WBGene00139035	WBGene00088039	ortholog_one2one
caenorhabditis_brenneri	WBGene00139036	WBGene00023828	ortholog_one2many
caenorhabditis_brenneri	WBGene00139037	WBGene00034137	ortholog_many2many
caenorhabditis_brenneri	WBGene00139037	WBGene00034138	ortholog_many2many
caenorhabditis_brenneri	WBGene00139038	WBGene00039055	ortholog_one2many
caenorhabditis_brenneri	WBGene00139039	WBGene00035335	ortholog_one2many
caenorhabditis_brenneri	WBGene00139040	WBGene00033320	ortholog_one2many
caenorhabditis_brenneri	WBGene00139041		
caenorhabditis_brenneri	WBGene00139042		
caenorhabditis_brenneri	WBGene00139043		
caenorhabditis_brenneri	WBGene00139044	WBGene00037551	ortholog_one2one
caenorhabditis_brenneri	WBGene00139045	WBGene00037279	ortholog_one2many
caenorhabditis_brenneri	WBGene00139046		
caenorhabditis_brenneri	WBGene00139047	WBGene00025774	ortholog_one2one
caenorhabditis_brenneri	WBGene00139048	WBGene00027416	ortholog_many2many
caenorhabditis_brenneri	WBGene00139048	WBGene00027415	ortholog_many2many
caenorhabditis_brenneri	WBGene00139049	WBGene00034029	ortholog_one2one
caenorhabditis_brenneri	WBGene00139050	WBGene00027017	ortholog_one2many
caenorhabditis_brenneri	WBGene00139051		
caenorhabditis_brenneri	WBGene00139052		
caenorhabditis_brenneri	WBGene00139053	WBGene00034840	ortholog_one2one
caenorhabditis_brenneri	WBGene00139054		
caenorhabditis_brenneri	WBGene00139055	WBGene00038760	ortholog_one2many
caenorhabditis_brenneri	WBGene00139056	WBGene00028243	ortholog_one2many
caenorhabditis_brenneri	WBGene00139057	WBGene00035997	ortholog_one2many
caenorhabditis_brenneri	WBGene00139058	WBGene00032185	ortholog_one2one
caenorhabditis_brenneri	WBGene00139059	WBGene00040399	ortholog_one2many
caenorhabditis_brenneri	WBGene00139060	WBGene00040366	ortholog_one2many
caenorhabditis_brenneri	WBGene00139061		
caenorhabditis_brenneri	WBGene00139062	WBGene00039533	ortholog_one2one
caenorhabditis_brenneri	WBGene00139063	WBGene00036663	ortholog_one2one
caenorhabditis_brenneri	WBGene00139064		
caenorhabditis_brenneri	WBGene00139065	WBGene00036125	ortholog_one2one
caenorhabditis_brenneri	WBGene00139066	WBGene00039243	ortholog_one2one
caenorhabditis_brenneri	WBGene00139067	WBGene00042803	ortholog_one2one
caenorhabditis_brenneri	WBGene00139068		
caenorhabditis_brenneri	WBGene00139069	WBGene00025238	ortholog_one2one
caenorhabditis_brenneri	WBGene00139070		
caenorhabditis_brenneri	WBGene00139071	WBGene00030387	ortholog_one2many
caenorhabditis_brenneri	WBGene00139072		
caenorhabditis_brenneri	WBGene00139073	WBGene00026549	ortholog_one2many
caenorhabditis_brenneri	WBGene00139074		
caenorhabditis_brenneri	WBGene00139075	WBGene00041064	ortholog_one2many
caenorhabditis_brenneri	WBGene00139076	WBGene00023828	ortholog_one2many
caenorhabditis_brenneri	WBGene00139077	WBGene00024987	ortholog_one2many
caenorhabditis_brenneri	WBGene00139078		
caenorhabditis_brenneri	WBGene00139079	WBGene00043047	ortholog_one2one
caenorhabditis_brenneri	WBGene00139080	WBGene00088409	ortholog_one2many
caenorhabditis_brenneri	WBGene00139081	WBGene00042121	ortholog_one2many
caenorhabditis_brenneri	WBGene00139082		
caenorhabditis_brenneri	WBGene00139083	WBGene00028314	ortholog_one2many
caenorhabditis_brenneri	WBGene00139084	WBGene00042344	ortholog_many2many
caenorhabditis_brenneri	WBGene00139084	WBGene00042758	ortholog_many2many
caenorhabditis_brenneri	WBGene00139085	WBGene00041456	ortholog_one2many
caenorhabditis_brenneri	WBGene00139086	WBGene00026789	ortholog_one2one
caenorhabditis_brenneri	WBGene00139087	WBGene00034423	ortholog_one2one
caenorhabditis_brenneri	WBGene00139088		
caenorhabditis_brenneri	WBGene00139089		
caenorhabditis_brenneri	WBGene00139090		
caenorhabditis_brenneri	WBGene00139091		
caenorhabditis_brenneri	WBGene00139092	WBGene00029981	ortholog_one2one
caenorhabditis_brenneri	WBGene00139093		
caenorhabditis_brenneri	WBGene00139094		
caenorhabditis_brenneri	WBGene00139095	WBGene00041500	ortholog_one2many
caenorhabditis_brenneri	WBGene00139096	WBGene00033741	ortholog_one2one
caenorhabditis_brenneri	WBGene00139097	WBGene00034001	ortholog_one2one
caenorhabditis_brenneri	WBGene00139098	WBGene00028617	ortholog_one2many
caenorhabditis_brenneri	WBGene00139099	WBGene00034440	ortholog_one2one
caenorhabditis_brenneri	WBGene00139100	WBGene00038156	ortholog_one2one
caenorhabditis_brenneri	WBGene00139101	WBGene00038891	ortholog_one2many
caenorhabditis_brenneri	WBGene00139102		
caenorhabditis_brenneri	WBGene00139103		
caenorhabditis_brenneri	WBGene00139104	WBGene00032819	ortholog_one2one
caenorhabditis_brenneri	WBGene00139105	WBGene00033869	ortholog_one2one
caenorhabditis_brenneri	WBGene00139106		
caenorhabditis_brenneri	WBGene00139107	WBGene00025363	ortholog_one2many
caenorhabditis_brenneri	WBGene00139108	WBGene00032474	ortholog_one2many
caenorhabditis_brenneri	WBGene00139109		
caenorhabditis_brenneri	WBGene00139110	WBGene00042512	ortholog_one2one
caenorhabditis_brenneri	WBGene00139111		
caenorhabditis_brenneri	WBGene00139112		
caenorhabditis_brenneri	WBGene00139113		
caenorhabditis_brenneri	WBGene00139114	WBGene00025302	ortholog_one2many
caenorhabditis_brenneri	WBGene00139115	WBGene00032855	ortholog_one2many
caenorhabditis_brenneri	WBGene00139116	WBGene00030737	ortholog_one2one
