Genome project	Gene stable ID	Homology type	Caenorhabditis briggsae [WS251] gene stable ID
caenorhabditis_elegans	WBGene00000093	ortholog_one2one	WBGene00024971
caenorhabditis_elegans	WBGene00000094		
caenorhabditis_elegans	WBGene00000095	ortholog_one2one	WBGene00033201
caenorhabditis_elegans	WBGene00000096	ortholog_one2one	WBGene00042584
caenorhabditis_elegans	WBGene00000097	ortholog_one2one	WBGene00032523
caenorhabditis_elegans	WBGene00000098	ortholog_one2many	WBGene00032455
caenorhabditis_elegans	WBGene00000098	ortholog_one2many	WBGene00042822
caenorhabditis_elegans	WBGene00000099	ortholog_one2one	WBGene00026778
caenorhabditis_elegans	WBGene00000100	ortholog_one2one	WBGene00023636
caenorhabditis_elegans	WBGene00000101	ortholog_one2one	WBGene00033885
caenorhabditis_elegans	WBGene00000102	ortholog_one2one	WBGene00031128
caenorhabditis_elegans	WBGene00000103		
caenorhabditis_elegans	WBGene00000105	ortholog_one2one	WBGene00029416
caenorhabditis_elegans	WBGene00000106		
caenorhabditis_elegans	WBGene00000107	ortholog_one2one	WBGene00041442
caenorhabditis_elegans	WBGene00000108		
caenorhabditis_elegans	WBGene00000109	ortholog_one2one	WBGene00028333
caenorhabditis_elegans	WBGene00000110	ortholog_one2one	WBGene00038231
caenorhabditis_elegans	WBGene00000111		
caenorhabditis_elegans	WBGene00000112	ortholog_one2one	WBGene00029270
caenorhabditis_elegans	WBGene00000113	ortholog_one2one	WBGene00039697
caenorhabditis_elegans	WBGene00000114	ortholog_one2one	WBGene00026057
caenorhabditis_elegans	WBGene00000115	ortholog_one2one	WBGene00030737
caenorhabditis_elegans	WBGene00000116	ortholog_one2one	WBGene00032202
caenorhabditis_elegans	WBGene00000117	ortholog_one2one	WBGene00035529
caenorhabditis_elegans	WBGene00000118	ortholog_one2one	WBGene00030825
caenorhabditis_elegans	WBGene00000120	ortholog_one2many	WBGene00040469
caenorhabditis_elegans	WBGene00000120	ortholog_one2many	WBGene00040468
caenorhabditis_elegans	WBGene00000121		
caenorhabditis_elegans	WBGene00000122	ortholog_one2one	WBGene00028541
caenorhabditis_elegans	WBGene00000123	ortholog_one2one	WBGene00027817
caenorhabditis_elegans	WBGene00000133	ortholog_one2one	WBGene00034968
caenorhabditis_elegans	WBGene00000134	ortholog_one2one	WBGene00042212
caenorhabditis_elegans	WBGene00000135	ortholog_one2one	WBGene00024055
caenorhabditis_elegans	WBGene00000136	ortholog_one2many	WBGene00034965
caenorhabditis_elegans	WBGene00000136	ortholog_one2many	WBGene00034967
caenorhabditis_elegans	WBGene00000137	ortholog_one2one	WBGene00039201
caenorhabditis_elegans	WBGene00000138	ortholog_one2one	WBGene00029850
caenorhabditis_elegans	WBGene00000139	ortholog_one2one	WBGene00027980
caenorhabditis_elegans	WBGene00000140		
caenorhabditis_elegans	WBGene00000142	ortholog_one2one	WBGene00031092
caenorhabditis_elegans	WBGene00000143	ortholog_one2one	WBGene00041413
caenorhabditis_elegans	WBGene00000144	ortholog_one2one	WBGene00031171
caenorhabditis_elegans	WBGene00000145	ortholog_one2one	WBGene00037529
caenorhabditis_elegans	WBGene00000146	ortholog_one2one	WBGene00041670
caenorhabditis_elegans	WBGene00000147	ortholog_one2one	WBGene00077507
caenorhabditis_elegans	WBGene00000148	ortholog_one2one	WBGene00040151
caenorhabditis_elegans	WBGene00000149	ortholog_one2one	WBGene00035050
caenorhabditis_elegans	WBGene00000150	ortholog_one2one	WBGene00033291
caenorhabditis_elegans	WBGene00000151	ortholog_one2one	WBGene00034190
caenorhabditis_elegans	WBGene00000155	ortholog_one2one	WBGene00039457
caenorhabditis_elegans	WBGene00000156	ortholog_one2one	WBGene00030061
caenorhabditis_elegans	WBGene00000157	ortholog_one2one	WBGene00034950
caenorhabditis_elegans	WBGene00000158	ortholog_one2one	WBGene00030486
caenorhabditis_elegans	WBGene00000159	ortholog_one2one	WBGene00030881
caenorhabditis_elegans	WBGene00000160		
caenorhabditis_elegans	WBGene00000161	ortholog_one2one	WBGene00036188
caenorhabditis_elegans	WBGene00000162	ortholog_one2one	WBGene00040164
caenorhabditis_elegans	WBGene00000163	ortholog_one2one	WBGene00042007
caenorhabditis_elegans	WBGene00000164	ortholog_one2one	WBGene00029947
caenorhabditis_elegans	WBGene00000165	ortholog_one2one	WBGene00030288
caenorhabditis_elegans	WBGene00000166	ortholog_one2one	WBGene00037110
caenorhabditis_elegans	WBGene00000168	ortholog_one2many	WBGene00040504
caenorhabditis_elegans	WBGene00000169	ortholog_one2one	WBGene00033933
caenorhabditis_elegans	WBGene00000170	ortholog_one2one	WBGene00024232
caenorhabditis_elegans	WBGene00000171	ortholog_one2one	WBGene00028320
caenorhabditis_elegans	WBGene00000172	ortholog_one2one	WBGene00038598
caenorhabditis_elegans	WBGene00000173	ortholog_one2one	WBGene00031159
caenorhabditis_elegans	WBGene00000174	ortholog_one2one	WBGene00031219
caenorhabditis_elegans	WBGene00000175	ortholog_one2one	WBGene00034718
caenorhabditis_elegans	WBGene00000176	ortholog_one2one	WBGene00034989
caenorhabditis_elegans	WBGene00000177	ortholog_one2one	WBGene00026518
caenorhabditis_elegans	WBGene00000178	ortholog_one2one	WBGene00024329
caenorhabditis_elegans	WBGene00000179	ortholog_one2one	WBGene00037695
caenorhabditis_elegans	WBGene00000180	ortholog_one2one	WBGene00024350
caenorhabditis_elegans	WBGene00000181	ortholog_one2one	WBGene00028363
caenorhabditis_elegans	WBGene00000182	ortholog_one2one	WBGene00030680
caenorhabditis_elegans	WBGene00000183	ortholog_one2one	WBGene00037282
caenorhabditis_elegans	WBGene00000184	ortholog_one2one	WBGene00023741
caenorhabditis_elegans	WBGene00000185	ortholog_one2many	WBGene00040504
caenorhabditis_elegans	WBGene00000186	ortholog_one2one	WBGene00034274
caenorhabditis_elegans	WBGene00000187	ortholog_one2one	WBGene00023932
caenorhabditis_elegans	WBGene00000188	ortholog_one2one	WBGene00032261
caenorhabditis_elegans	WBGene00000189	ortholog_one2one	WBGene00031474
caenorhabditis_elegans	WBGene00000190	ortholog_one2one	WBGene00028284
caenorhabditis_elegans	WBGene00000192	ortholog_one2one	WBGene00040259
caenorhabditis_elegans	WBGene00000193	ortholog_one2one	WBGene00037478
caenorhabditis_elegans	WBGene00000195	ortholog_one2one	WBGene00029948
caenorhabditis_elegans	WBGene00000196	ortholog_one2one	WBGene00025856
caenorhabditis_elegans	WBGene00000197	ortholog_one2one	WBGene00033089
caenorhabditis_elegans	WBGene00000198	ortholog_one2one	WBGene00032359
caenorhabditis_elegans	WBGene00000199	ortholog_one2one	WBGene00026942
caenorhabditis_elegans	WBGene00000200	ortholog_one2one	WBGene00031147
caenorhabditis_elegans	WBGene00000201	ortholog_one2one	WBGene00037640
caenorhabditis_elegans	WBGene00000202		
caenorhabditis_elegans	WBGene00000203	ortholog_one2one	WBGene00035891
caenorhabditis_elegans	WBGene00000204	ortholog_one2one	WBGene00037451
caenorhabditis_elegans	WBGene00000205	ortholog_one2one	WBGene00026926
caenorhabditis_elegans	WBGene00000206	ortholog_one2one	WBGene00037528
caenorhabditis_elegans	WBGene00000207	ortholog_one2one	WBGene00034954
caenorhabditis_elegans	WBGene00000208	ortholog_one2one	WBGene00039813
caenorhabditis_elegans	WBGene00000209	ortholog_one2one	WBGene00033303
caenorhabditis_elegans	WBGene00000210	ortholog_one2one	WBGene00032153
caenorhabditis_elegans	WBGene00000211	ortholog_one2one	WBGene00032346
caenorhabditis_elegans	WBGene00000212	ortholog_one2one	WBGene00037012
caenorhabditis_elegans	WBGene00000213	ortholog_one2one	WBGene00024820
caenorhabditis_elegans	WBGene00000214	ortholog_one2one	WBGene00039339
caenorhabditis_elegans	WBGene00000215	ortholog_one2one	WBGene00038484
caenorhabditis_elegans	WBGene00000216	ortholog_one2one	WBGene00032145
caenorhabditis_elegans	WBGene00000217	ortholog_one2one	WBGene00027753
caenorhabditis_elegans	WBGene00000218	ortholog_one2one	WBGene00032440
caenorhabditis_elegans	WBGene00000219	ortholog_one2one	WBGene00032442
caenorhabditis_elegans	WBGene00000220	ortholog_one2one	WBGene00026072
caenorhabditis_elegans	WBGene00000221	ortholog_one2one	WBGene00029586
caenorhabditis_elegans	WBGene00000222	ortholog_one2one	WBGene00023594
caenorhabditis_elegans	WBGene00000223	ortholog_one2one	WBGene00037549
caenorhabditis_elegans	WBGene00000224	ortholog_one2one	WBGene00023839
caenorhabditis_elegans	WBGene00000225	ortholog_one2one	WBGene00032258
caenorhabditis_elegans	WBGene00000226	ortholog_one2one	WBGene00038570
caenorhabditis_elegans	WBGene00000227	ortholog_one2one	WBGene00040661
caenorhabditis_elegans	WBGene00000228	ortholog_one2one	WBGene00041850
caenorhabditis_elegans	WBGene00000229	ortholog_one2one	WBGene00040018
caenorhabditis_elegans	WBGene00000230	ortholog_one2one	WBGene00033275
caenorhabditis_elegans	WBGene00000231	ortholog_one2one	WBGene00037813
caenorhabditis_elegans	WBGene00000232		
caenorhabditis_elegans	WBGene00000233	ortholog_one2many	WBGene00028929
caenorhabditis_elegans	WBGene00000235	ortholog_one2one	WBGene00031563
caenorhabditis_elegans	WBGene00000236	ortholog_one2one	WBGene00033572
caenorhabditis_elegans	WBGene00000237	ortholog_one2one	WBGene00026931
caenorhabditis_elegans	WBGene00000238	ortholog_one2one	WBGene00032205
caenorhabditis_elegans	WBGene00000239	ortholog_one2one	WBGene00030647
caenorhabditis_elegans	WBGene00000240	ortholog_one2one	WBGene00026084
caenorhabditis_elegans	WBGene00000241	ortholog_one2one	WBGene00030482
caenorhabditis_elegans	WBGene00000242	ortholog_one2one	WBGene00037270
caenorhabditis_elegans	WBGene00000244	ortholog_one2one	WBGene00038300
caenorhabditis_elegans	WBGene00000245	ortholog_one2one	WBGene00035244
caenorhabditis_elegans	WBGene00000246	ortholog_one2one	WBGene00028349
caenorhabditis_elegans	WBGene00000247	ortholog_one2one	WBGene00039024
caenorhabditis_elegans	WBGene00000248	ortholog_one2one	WBGene00031283
caenorhabditis_elegans	WBGene00000249	ortholog_one2one	WBGene00041676
caenorhabditis_elegans	WBGene00000250	ortholog_one2one	WBGene00032644
caenorhabditis_elegans	WBGene00000251	ortholog_one2one	WBGene00025971
caenorhabditis_elegans	WBGene00000252	ortholog_one2one	WBGene00025511
caenorhabditis_elegans	WBGene00000253	ortholog_one2one	WBGene00027637
caenorhabditis_elegans	WBGene00000254	ortholog_one2one	WBGene00000307
caenorhabditis_elegans	WBGene00000255	ortholog_one2one	WBGene00040059
caenorhabditis_elegans	WBGene00000256	ortholog_one2one	WBGene00027906
caenorhabditis_elegans	WBGene00000257	ortholog_one2one	WBGene00032904
caenorhabditis_elegans	WBGene00000259	ortholog_one2one	WBGene00025634
caenorhabditis_elegans	WBGene00000262	ortholog_one2one	WBGene00029467
caenorhabditis_elegans	WBGene00000263	ortholog_one2one	WBGene00035495
caenorhabditis_elegans	WBGene00000264	ortholog_one2many	WBGene00026444
caenorhabditis_elegans	WBGene00000265	ortholog_one2one	WBGene00037674
caenorhabditis_elegans	WBGene00000266		
caenorhabditis_elegans	WBGene00000267	ortholog_one2many	WBGene00041432
caenorhabditis_elegans	WBGene00000267	ortholog_one2many	WBGene00041433
caenorhabditis_elegans	WBGene00000268	ortholog_one2one	WBGene00031561
caenorhabditis_elegans	WBGene00000269	ortholog_one2one	WBGene00040787
caenorhabditis_elegans	WBGene00000270	ortholog_one2one	WBGene00028523
caenorhabditis_elegans	WBGene00000271	ortholog_one2one	WBGene00033945
caenorhabditis_elegans	WBGene00000272	ortholog_one2one	WBGene00042010
caenorhabditis_elegans	WBGene00000273	ortholog_one2one	WBGene00037645
caenorhabditis_elegans	WBGene00000274	ortholog_one2one	WBGene00025797
caenorhabditis_elegans	WBGene00000275	ortholog_one2many	WBGene00040583
caenorhabditis_elegans	WBGene00000275	ortholog_one2many	WBGene00033080
caenorhabditis_elegans	WBGene00000275	ortholog_one2many	WBGene00031436
caenorhabditis_elegans	WBGene00000276	ortholog_one2one	WBGene00036401
caenorhabditis_elegans	WBGene00000277	ortholog_one2one	WBGene00036230
caenorhabditis_elegans	WBGene00000279	ortholog_one2one	WBGene00041439
caenorhabditis_elegans	WBGene00000280	ortholog_one2one	WBGene00033874
caenorhabditis_elegans	WBGene00000281	ortholog_one2one	WBGene00036319
caenorhabditis_elegans	WBGene00000282	ortholog_one2one	WBGene00029482
caenorhabditis_elegans	WBGene00000283	ortholog_one2one	WBGene00032185
caenorhabditis_elegans	WBGene00000284	ortholog_one2one	WBGene00033006
caenorhabditis_elegans	WBGene00000285	ortholog_one2one	WBGene00041861
caenorhabditis_elegans	WBGene00000286	ortholog_one2one	WBGene00026122
caenorhabditis_elegans	WBGene00000287	ortholog_one2one	WBGene00032016
caenorhabditis_elegans	WBGene00000288	ortholog_one2one	WBGene00030154
caenorhabditis_elegans	WBGene00000289	ortholog_one2one	WBGene00039259
caenorhabditis_elegans	WBGene00000292	ortholog_one2one	WBGene00028193
caenorhabditis_elegans	WBGene00000293	ortholog_one2one	WBGene00025947
caenorhabditis_elegans	WBGene00000294	ortholog_one2one	WBGene00036255
caenorhabditis_elegans	WBGene00000295	ortholog_one2one	WBGene00035143
caenorhabditis_elegans	WBGene00000296	ortholog_one2one	WBGene00029201
caenorhabditis_elegans	WBGene00000298	ortholog_one2one	WBGene00031200
caenorhabditis_elegans	WBGene00000301	ortholog_one2one	WBGene00035367
caenorhabditis_elegans	WBGene00000302	ortholog_one2one	WBGene00028919
caenorhabditis_elegans	WBGene00000366	ortholog_one2one	WBGene00031464
caenorhabditis_elegans	WBGene00000367	ortholog_one2one	WBGene00036666
caenorhabditis_elegans	WBGene00000368	ortholog_one2one	WBGene00033003
caenorhabditis_elegans	WBGene00000369	ortholog_one2many	WBGene00034094
caenorhabditis_elegans	WBGene00000369	ortholog_one2many	WBGene00034099
caenorhabditis_elegans	WBGene00000370	ortholog_one2one	WBGene00034448
caenorhabditis_elegans	WBGene00000371	ortholog_one2one	WBGene00026579
caenorhabditis_elegans	WBGene00000372	ortholog_one2many	WBGene00024327
caenorhabditis_elegans	WBGene00000373	ortholog_many2many	WBGene00027768
caenorhabditis_elegans	WBGene00000373	ortholog_many2many	WBGene00024587
caenorhabditis_elegans	WBGene00000375		
caenorhabditis_elegans	WBGene00000376	ortholog_one2one	WBGene00026199
caenorhabditis_elegans	WBGene00000377	ortholog_one2one	WBGene00024067
caenorhabditis_elegans	WBGene00000378	ortholog_one2one	WBGene00026114
caenorhabditis_elegans	WBGene00000379	ortholog_one2one	WBGene00024034
caenorhabditis_elegans	WBGene00000380	ortholog_one2one	WBGene00037548
caenorhabditis_elegans	WBGene00000381	ortholog_one2one	WBGene00030739
caenorhabditis_elegans	WBGene00000382	ortholog_one2one	WBGene00033172
caenorhabditis_elegans	WBGene00000383	ortholog_one2many	WBGene00025499
caenorhabditis_elegans	WBGene00000383	ortholog_one2many	WBGene00025501
caenorhabditis_elegans	WBGene00000386	ortholog_one2one	WBGene00033554
caenorhabditis_elegans	WBGene00000387	ortholog_one2one	WBGene00028843
caenorhabditis_elegans	WBGene00000388	ortholog_one2one	WBGene00030028
caenorhabditis_elegans	WBGene00000389	ortholog_one2one	WBGene00024207
caenorhabditis_elegans	WBGene00000390	ortholog_one2one	WBGene00033857
caenorhabditis_elegans	WBGene00000391	ortholog_one2one	WBGene00041210
caenorhabditis_elegans	WBGene00000392	ortholog_one2one	WBGene00028264
caenorhabditis_elegans	WBGene00000393	ortholog_one2one	WBGene00027624
caenorhabditis_elegans	WBGene00000395	ortholog_one2one	WBGene00023547
caenorhabditis_elegans	WBGene00000396	ortholog_one2one	WBGene00037547
caenorhabditis_elegans	WBGene00000397	ortholog_one2one	WBGene00042583
caenorhabditis_elegans	WBGene00000399	ortholog_one2one	WBGene00032243
caenorhabditis_elegans	WBGene00000401	ortholog_one2many	WBGene00036312
caenorhabditis_elegans	WBGene00000401	ortholog_one2many	WBGene00036338
caenorhabditis_elegans	WBGene00000402		
caenorhabditis_elegans	WBGene00000403	ortholog_one2one	WBGene00025582
caenorhabditis_elegans	WBGene00000405	ortholog_one2one	WBGene00031495
caenorhabditis_elegans	WBGene00000406	ortholog_one2one	WBGene00029488
caenorhabditis_elegans	WBGene00000407	ortholog_one2one	WBGene00040045
caenorhabditis_elegans	WBGene00000408	ortholog_one2one	WBGene00026646
caenorhabditis_elegans	WBGene00000409	ortholog_one2one	WBGene00033308
caenorhabditis_elegans	WBGene00000410	ortholog_one2one	WBGene00039400
caenorhabditis_elegans	WBGene00000411	ortholog_one2one	WBGene00025959
caenorhabditis_elegans	WBGene00000412	ortholog_one2many	WBGene00041308
caenorhabditis_elegans	WBGene00000412	ortholog_one2many	WBGene00041310
caenorhabditis_elegans	WBGene00000413	ortholog_one2one	WBGene00035345
caenorhabditis_elegans	WBGene00000414	ortholog_one2many	WBGene00037612
caenorhabditis_elegans	WBGene00000414	ortholog_one2many	WBGene00034571
caenorhabditis_elegans	WBGene00000415	ortholog_one2one	WBGene00035967
caenorhabditis_elegans	WBGene00000416	ortholog_one2one	WBGene00034318
caenorhabditis_elegans	WBGene00000417	ortholog_one2one	WBGene00024999
caenorhabditis_elegans	WBGene00000418	ortholog_one2one	WBGene00037464
caenorhabditis_elegans	WBGene00000419	ortholog_one2one	WBGene00030152
caenorhabditis_elegans	WBGene00000420	ortholog_one2one	WBGene00030653
caenorhabditis_elegans	WBGene00000421	ortholog_one2one	WBGene00031527
caenorhabditis_elegans	WBGene00000422	ortholog_one2one	WBGene00041249
caenorhabditis_elegans	WBGene00000423	ortholog_one2one	WBGene00042676
caenorhabditis_elegans	WBGene00000424	ortholog_one2many	WBGene00035383
caenorhabditis_elegans	WBGene00000425	ortholog_one2one	WBGene00029124
caenorhabditis_elegans	WBGene00000426	ortholog_one2one	WBGene00033199
caenorhabditis_elegans	WBGene00000427		
caenorhabditis_elegans	WBGene00000428	ortholog_one2one	WBGene00034981
caenorhabditis_elegans	WBGene00000429	ortholog_one2one	WBGene00039275
caenorhabditis_elegans	WBGene00000430	ortholog_one2one	WBGene00026594
caenorhabditis_elegans	WBGene00000431	ortholog_one2one	WBGene00033471
caenorhabditis_elegans	WBGene00000432	ortholog_one2one	WBGene00032299
caenorhabditis_elegans	WBGene00000433		
caenorhabditis_elegans	WBGene00000434	ortholog_one2one	WBGene00027648
caenorhabditis_elegans	WBGene00000435	ortholog_one2one	WBGene00030749
caenorhabditis_elegans	WBGene00000436	ortholog_one2one	WBGene00026771
caenorhabditis_elegans	WBGene00000437	ortholog_one2one	WBGene00030806
caenorhabditis_elegans	WBGene00000438	ortholog_one2one	WBGene00036585
caenorhabditis_elegans	WBGene00000439	ortholog_one2one	WBGene00041370
caenorhabditis_elegans	WBGene00000440	ortholog_one2one	WBGene00040880
caenorhabditis_elegans	WBGene00000441	ortholog_one2one	WBGene00034846
caenorhabditis_elegans	WBGene00000442	ortholog_one2one	WBGene00037275
caenorhabditis_elegans	WBGene00000443	ortholog_one2one	WBGene00036414
caenorhabditis_elegans	WBGene00000444	ortholog_many2many	WBGene00032862
caenorhabditis_elegans	WBGene00000444	ortholog_many2many	WBGene00031998
caenorhabditis_elegans	WBGene00000445	ortholog_one2one	WBGene00031225
caenorhabditis_elegans	WBGene00000446	ortholog_one2one	WBGene00087469
caenorhabditis_elegans	WBGene00000447	ortholog_one2one	WBGene00032588
caenorhabditis_elegans	WBGene00000448	ortholog_one2one	WBGene00041422
caenorhabditis_elegans	WBGene00000449	ortholog_one2one	WBGene00041673
caenorhabditis_elegans	WBGene00000450	ortholog_one2one	WBGene00027732
caenorhabditis_elegans	WBGene00000451	ortholog_one2one	WBGene00034724
caenorhabditis_elegans	WBGene00000452	ortholog_one2one	WBGene00034725
caenorhabditis_elegans	WBGene00000453	ortholog_one2one	WBGene00041666
caenorhabditis_elegans	WBGene00000454	ortholog_one2one	WBGene00028988
caenorhabditis_elegans	WBGene00000455	ortholog_one2one	WBGene00028989
caenorhabditis_elegans	WBGene00000457	ortholog_one2one	WBGene00036289
caenorhabditis_elegans	WBGene00000458	ortholog_one2one	WBGene00036290
caenorhabditis_elegans	WBGene00000459	ortholog_one2one	WBGene00032355
caenorhabditis_elegans	WBGene00000460	ortholog_many2many	WBGene00032862
caenorhabditis_elegans	WBGene00000460	ortholog_many2many	WBGene00031998
caenorhabditis_elegans	WBGene00000461	ortholog_one2one	WBGene00027778
caenorhabditis_elegans	WBGene00000462		
caenorhabditis_elegans	WBGene00000463	ortholog_one2one	WBGene00037554
caenorhabditis_elegans	WBGene00000464	ortholog_one2one	WBGene00031365
caenorhabditis_elegans	WBGene00000465		
caenorhabditis_elegans	WBGene00000466	ortholog_one2many	WBGene00026504
caenorhabditis_elegans	WBGene00000466	ortholog_one2many	WBGene00026554
caenorhabditis_elegans	WBGene00000467	ortholog_one2one	WBGene00026824
caenorhabditis_elegans	WBGene00000468	ortholog_one2one	WBGene00033442
caenorhabditis_elegans	WBGene00000469	ortholog_one2one	WBGene00038970
caenorhabditis_elegans	WBGene00000472	ortholog_one2one	WBGene00025935
caenorhabditis_elegans	WBGene00000473	ortholog_one2many	WBGene00035267
caenorhabditis_elegans	WBGene00000473	ortholog_one2many	WBGene00032931
caenorhabditis_elegans	WBGene00000473	ortholog_one2many	WBGene00025320
caenorhabditis_elegans	WBGene00000474		
caenorhabditis_elegans	WBGene00000475	ortholog_one2one	WBGene00037745
caenorhabditis_elegans	WBGene00000476	ortholog_one2one	WBGene00026568
caenorhabditis_elegans	WBGene00000477	ortholog_one2one	WBGene00030970
