Genome project	Gene stable ID	Homology type	Caenorhabditis remanei [WS251] gene stable ID
caenorhabditis_briggsae	WBGene00023537	ortholog_one2one	WBGene00064079
caenorhabditis_briggsae	WBGene00023538	ortholog_one2one	WBGene00064081
caenorhabditis_briggsae	WBGene00023539	ortholog_one2many	WBGene00064082
caenorhabditis_briggsae	WBGene00023540	ortholog_one2one	WBGene00064083
caenorhabditis_briggsae	WBGene00023541	ortholog_one2one	WBGene00064084
caenorhabditis_briggsae	WBGene00023542		
caenorhabditis_briggsae	WBGene00023543	ortholog_one2one	WBGene00064088
caenorhabditis_briggsae	WBGene00023544		
caenorhabditis_briggsae	WBGene00023545	ortholog_one2many	WBGene00064091
caenorhabditis_briggsae	WBGene00023546	ortholog_one2many	WBGene00064091
caenorhabditis_briggsae	WBGene00023547	ortholog_one2one	WBGene00064097
caenorhabditis_briggsae	WBGene00023548	ortholog_one2one	WBGene00066786
caenorhabditis_briggsae	WBGene00023549	ortholog_many2many	WBGene00066137
caenorhabditis_briggsae	WBGene00023549	ortholog_many2many	WBGene00066917
caenorhabditis_briggsae	WBGene00023550		
caenorhabditis_briggsae	WBGene00023551	ortholog_one2many	WBGene00064082
caenorhabditis_briggsae	WBGene00023552	ortholog_one2one	WBGene00051183
caenorhabditis_briggsae	WBGene00023553	ortholog_one2one	WBGene00051182
caenorhabditis_briggsae	WBGene00023554	ortholog_one2one	WBGene00051181
caenorhabditis_briggsae	WBGene00023555	ortholog_one2one	WBGene00051179
caenorhabditis_briggsae	WBGene00023556	ortholog_one2one	WBGene00085531
caenorhabditis_briggsae	WBGene00023557		
caenorhabditis_briggsae	WBGene00023558		
caenorhabditis_briggsae	WBGene00023559		
caenorhabditis_briggsae	WBGene00023560		
caenorhabditis_briggsae	WBGene00023561	ortholog_one2one	WBGene00051173
caenorhabditis_briggsae	WBGene00023562	ortholog_one2one	WBGene00051172
caenorhabditis_briggsae	WBGene00023564	ortholog_one2one	WBGene00051171
caenorhabditis_briggsae	WBGene00023565	ortholog_one2one	WBGene00051169
caenorhabditis_briggsae	WBGene00023566	ortholog_one2one	WBGene00051168
caenorhabditis_briggsae	WBGene00023567	ortholog_one2one	WBGene00051167
caenorhabditis_briggsae	WBGene00023568	ortholog_one2one	WBGene00085533
caenorhabditis_briggsae	WBGene00023569	ortholog_one2one	WBGene00051166
caenorhabditis_briggsae	WBGene00023570	ortholog_one2one	WBGene00051165
caenorhabditis_briggsae	WBGene00023571	ortholog_one2one	WBGene00051164
caenorhabditis_briggsae	WBGene00023572	ortholog_one2one	WBGene00051162
caenorhabditis_briggsae	WBGene00023573	ortholog_one2one	WBGene00051161
caenorhabditis_briggsae	WBGene00023574		
caenorhabditis_briggsae	WBGene00023575	ortholog_one2one	WBGene00051160
caenorhabditis_briggsae	WBGene00023576		
caenorhabditis_briggsae	WBGene00023577	ortholog_one2one	WBGene00051159
caenorhabditis_briggsae	WBGene00023578	ortholog_one2one	WBGene00051157
caenorhabditis_briggsae	WBGene00023579	ortholog_one2one	WBGene00051156
caenorhabditis_briggsae	WBGene00023580	ortholog_one2one	WBGene00051154
caenorhabditis_briggsae	WBGene00023581	ortholog_one2one	WBGene00051153
caenorhabditis_briggsae	WBGene00023582	ortholog_one2one	WBGene00051152
caenorhabditis_briggsae	WBGene00023583	ortholog_one2one	WBGene00051150
caenorhabditis_briggsae	WBGene00023584	ortholog_one2one	WBGene00051149
caenorhabditis_briggsae	WBGene00023585	ortholog_one2one	WBGene00051148
caenorhabditis_briggsae	WBGene00023586	ortholog_one2one	WBGene00051147
caenorhabditis_briggsae	WBGene00023587	ortholog_one2one	WBGene00051146
caenorhabditis_briggsae	WBGene00023588		
caenorhabditis_briggsae	WBGene00023589	ortholog_one2one	WBGene00051143
caenorhabditis_briggsae	WBGene00023590		
caenorhabditis_briggsae	WBGene00023591	ortholog_one2one	WBGene00051141
caenorhabditis_briggsae	WBGene00023592	ortholog_one2one	WBGene00051140
caenorhabditis_briggsae	WBGene00023593	ortholog_one2one	WBGene00051139
caenorhabditis_briggsae	WBGene00023594	ortholog_one2one	WBGene00051138
caenorhabditis_briggsae	WBGene00023595		
caenorhabditis_briggsae	WBGene00023596	ortholog_one2one	WBGene00051137
caenorhabditis_briggsae	WBGene00023597	ortholog_one2one	WBGene00051136
caenorhabditis_briggsae	WBGene00023598	ortholog_one2one	WBGene00051135
caenorhabditis_briggsae	WBGene00023599	ortholog_one2one	WBGene00051134
caenorhabditis_briggsae	WBGene00023600	ortholog_one2many	WBGene00051133
caenorhabditis_briggsae	WBGene00023601	ortholog_one2one	WBGene00051132
caenorhabditis_briggsae	WBGene00023602	ortholog_one2one	WBGene00051131
caenorhabditis_briggsae	WBGene00023603	ortholog_one2one	WBGene00051129
caenorhabditis_briggsae	WBGene00023604		
caenorhabditis_briggsae	WBGene00023605		
caenorhabditis_briggsae	WBGene00023606	ortholog_one2one	WBGene00051128
caenorhabditis_briggsae	WBGene00023607	ortholog_one2one	WBGene00051126
caenorhabditis_briggsae	WBGene00023608		
caenorhabditis_briggsae	WBGene00023609	ortholog_one2one	WBGene00051125
caenorhabditis_briggsae	WBGene00023610	ortholog_one2one	WBGene00051124
caenorhabditis_briggsae	WBGene00023611		
caenorhabditis_briggsae	WBGene00023612	ortholog_one2one	WBGene00051122
caenorhabditis_briggsae	WBGene00023613	ortholog_one2one	WBGene00051121
caenorhabditis_briggsae	WBGene00023614	ortholog_one2one	WBGene00051119
caenorhabditis_briggsae	WBGene00023615	ortholog_one2one	WBGene00051118
caenorhabditis_briggsae	WBGene00023616	ortholog_many2many	WBGene00051115
caenorhabditis_briggsae	WBGene00023616	ortholog_many2many	WBGene00051113
caenorhabditis_briggsae	WBGene00023617		
caenorhabditis_briggsae	WBGene00023618		
caenorhabditis_briggsae	WBGene00023619		
caenorhabditis_briggsae	WBGene00023620	ortholog_one2one	WBGene00084929
caenorhabditis_briggsae	WBGene00023621	ortholog_many2many	WBGene00070871
caenorhabditis_briggsae	WBGene00023621	ortholog_many2many	WBGene00069586
caenorhabditis_briggsae	WBGene00023621	ortholog_many2many	WBGene00054066
caenorhabditis_briggsae	WBGene00023622	ortholog_one2one	WBGene00051101
caenorhabditis_briggsae	WBGene00023623	ortholog_one2many	WBGene00084922
caenorhabditis_briggsae	WBGene00023623	ortholog_one2many	WBGene00051100
caenorhabditis_briggsae	WBGene00023624	ortholog_one2one	WBGene00084919
caenorhabditis_briggsae	WBGene00023625	ortholog_one2one	WBGene00051099
caenorhabditis_briggsae	WBGene00023626	ortholog_one2one	WBGene00051098
caenorhabditis_briggsae	WBGene00023627	ortholog_one2one	WBGene00051096
caenorhabditis_briggsae	WBGene00023628	ortholog_one2one	WBGene00051097
caenorhabditis_briggsae	WBGene00023629	ortholog_one2one	WBGene00084927
caenorhabditis_briggsae	WBGene00023630	ortholog_one2many	WBGene00074319
caenorhabditis_briggsae	WBGene00023631		
caenorhabditis_briggsae	WBGene00023632		
caenorhabditis_briggsae	WBGene00023633	ortholog_one2one	WBGene00051092
caenorhabditis_briggsae	WBGene00023634	ortholog_one2one	WBGene00051091
caenorhabditis_briggsae	WBGene00023635	ortholog_many2many	WBGene00063350
caenorhabditis_briggsae	WBGene00023635	ortholog_many2many	WBGene00079414
caenorhabditis_briggsae	WBGene00023635	ortholog_many2many	WBGene00083188
caenorhabditis_briggsae	WBGene00023635	ortholog_many2many	WBGene00079066
caenorhabditis_briggsae	WBGene00023635	ortholog_many2many	WBGene00078617
caenorhabditis_briggsae	WBGene00023635	ortholog_many2many	WBGene00072373
caenorhabditis_briggsae	WBGene00023635	ortholog_many2many	WBGene00249824
caenorhabditis_briggsae	WBGene00023635	ortholog_many2many	WBGene00065810
caenorhabditis_briggsae	WBGene00023635	ortholog_many2many	WBGene00065806
caenorhabditis_briggsae	WBGene00023635	ortholog_many2many	WBGene00065807
caenorhabditis_briggsae	WBGene00023635	ortholog_many2many	WBGene00060657
caenorhabditis_briggsae	WBGene00023635	ortholog_many2many	WBGene00082117
caenorhabditis_briggsae	WBGene00023636	ortholog_one2one	WBGene00051090
caenorhabditis_briggsae	WBGene00023637		
caenorhabditis_briggsae	WBGene00023638	ortholog_one2one	WBGene00051089
caenorhabditis_briggsae	WBGene00023639	ortholog_one2one	WBGene00051088
caenorhabditis_briggsae	WBGene00023640	ortholog_one2many	WBGene00086046
caenorhabditis_briggsae	WBGene00023640	ortholog_one2many	WBGene00059683
caenorhabditis_briggsae	WBGene00023640	ortholog_one2many	WBGene00059684
caenorhabditis_briggsae	WBGene00023640	ortholog_one2many	WBGene00059667
caenorhabditis_briggsae	WBGene00023640	ortholog_one2many	WBGene00070740
caenorhabditis_briggsae	WBGene00023641	ortholog_one2one	WBGene00051087
caenorhabditis_briggsae	WBGene00023642	ortholog_one2one	WBGene00051086
caenorhabditis_briggsae	WBGene00023643		
caenorhabditis_briggsae	WBGene00023644	ortholog_one2one	WBGene00084920
caenorhabditis_briggsae	WBGene00023645	ortholog_one2one	WBGene00051084
caenorhabditis_briggsae	WBGene00023646	ortholog_one2one	WBGene00051083
caenorhabditis_briggsae	WBGene00023647	ortholog_one2many	WBGene00051081
caenorhabditis_briggsae	WBGene00023647	ortholog_one2many	WBGene00051082
caenorhabditis_briggsae	WBGene00023648		
caenorhabditis_briggsae	WBGene00023649		
caenorhabditis_briggsae	WBGene00023650	ortholog_one2one	WBGene00051078
caenorhabditis_briggsae	WBGene00023651	ortholog_one2one	WBGene00066139
caenorhabditis_briggsae	WBGene00023652	ortholog_many2many	WBGene00051314
caenorhabditis_briggsae	WBGene00023652	ortholog_many2many	WBGene00071511
caenorhabditis_briggsae	WBGene00023653		
caenorhabditis_briggsae	WBGene00023654		
caenorhabditis_briggsae	WBGene00023655	ortholog_many2many	WBGene00081678
caenorhabditis_briggsae	WBGene00023655	ortholog_many2many	WBGene00075654
caenorhabditis_briggsae	WBGene00023655	ortholog_many2many	WBGene00085384
caenorhabditis_briggsae	WBGene00023655	ortholog_many2many	WBGene00064499
caenorhabditis_briggsae	WBGene00023655	ortholog_many2many	WBGene00073318
caenorhabditis_briggsae	WBGene00023655	ortholog_many2many	WBGene00086466
caenorhabditis_briggsae	WBGene00023656		
caenorhabditis_briggsae	WBGene00023657	ortholog_one2one	WBGene00051074
caenorhabditis_briggsae	WBGene00023658	ortholog_one2many	WBGene00052757
caenorhabditis_briggsae	WBGene00023659	ortholog_one2one	WBGene00051073
caenorhabditis_briggsae	WBGene00023660		
caenorhabditis_briggsae	WBGene00023661		
caenorhabditis_briggsae	WBGene00023662	ortholog_one2one	WBGene00051071
caenorhabditis_briggsae	WBGene00023663	ortholog_one2one	WBGene00051069
caenorhabditis_briggsae	WBGene00023664	ortholog_one2one	WBGene00051068
caenorhabditis_briggsae	WBGene00023665	ortholog_one2one	WBGene00051067
caenorhabditis_briggsae	WBGene00023666	ortholog_one2one	WBGene00051066
caenorhabditis_briggsae	WBGene00023667	ortholog_one2one	WBGene00051065
caenorhabditis_briggsae	WBGene00023668		
caenorhabditis_briggsae	WBGene00023669		
caenorhabditis_briggsae	WBGene00023670		
caenorhabditis_briggsae	WBGene00023671	ortholog_one2one	WBGene00051063
caenorhabditis_briggsae	WBGene00023672	ortholog_one2one	WBGene00051062
caenorhabditis_briggsae	WBGene00023673	ortholog_one2one	WBGene00051061
caenorhabditis_briggsae	WBGene00023674		
caenorhabditis_briggsae	WBGene00023675		
caenorhabditis_briggsae	WBGene00023676	ortholog_one2one	WBGene00051060
caenorhabditis_briggsae	WBGene00023677	ortholog_one2many	WBGene00051058
caenorhabditis_briggsae	WBGene00023678	ortholog_one2one	WBGene00051057
caenorhabditis_briggsae	WBGene00023679	ortholog_one2one	WBGene00051056
caenorhabditis_briggsae	WBGene00023680		
caenorhabditis_briggsae	WBGene00023681	ortholog_one2one	WBGene00051055
caenorhabditis_briggsae	WBGene00023682		
caenorhabditis_briggsae	WBGene00023683	ortholog_one2one	WBGene00051054
caenorhabditis_briggsae	WBGene00023684	ortholog_one2one	WBGene00051053
caenorhabditis_briggsae	WBGene00023685	ortholog_one2one	WBGene00051052
caenorhabditis_briggsae	WBGene00023686	ortholog_one2one	WBGene00051049
caenorhabditis_briggsae	WBGene00023687	ortholog_one2one	WBGene00051048
caenorhabditis_briggsae	WBGene00023688	ortholog_one2one	WBGene00051047
caenorhabditis_briggsae	WBGene00023689	ortholog_one2one	WBGene00051046
caenorhabditis_briggsae	WBGene00023690	ortholog_one2one	WBGene00051043
caenorhabditis_briggsae	WBGene00023691	ortholog_one2one	WBGene00051042
caenorhabditis_briggsae	WBGene00023692	ortholog_one2one	WBGene00051041
caenorhabditis_briggsae	WBGene00023693		
caenorhabditis_briggsae	WBGene00023694		
caenorhabditis_briggsae	WBGene00023695	ortholog_one2many	WBGene00086365
caenorhabditis_briggsae	WBGene00023696		
caenorhabditis_briggsae	WBGene00023697	ortholog_many2many	WBGene00078109
caenorhabditis_briggsae	WBGene00023697	ortholog_many2many	WBGene00085980
caenorhabditis_briggsae	WBGene00023697	ortholog_many2many	WBGene00085979
caenorhabditis_briggsae	WBGene00023698	ortholog_one2one	WBGene00065449
caenorhabditis_briggsae	WBGene00023699	ortholog_one2one	WBGene00065448
caenorhabditis_briggsae	WBGene00023700		
caenorhabditis_briggsae	WBGene00023701	ortholog_one2many	WBGene00065444
caenorhabditis_briggsae	WBGene00023702	ortholog_one2one	WBGene00065425
caenorhabditis_briggsae	WBGene00023703	ortholog_one2one	WBGene00065440
caenorhabditis_briggsae	WBGene00023704	ortholog_one2one	WBGene00065441
caenorhabditis_briggsae	WBGene00023705	ortholog_one2many	WBGene00065442
caenorhabditis_briggsae	WBGene00023706	ortholog_one2many	WBGene00065442
caenorhabditis_briggsae	WBGene00023707		
caenorhabditis_briggsae	WBGene00023708		
caenorhabditis_briggsae	WBGene00023709		
caenorhabditis_briggsae	WBGene00023710	ortholog_one2one	WBGene00065426
caenorhabditis_briggsae	WBGene00023711	ortholog_one2one	WBGene00065427
caenorhabditis_briggsae	WBGene00023712	ortholog_one2one	WBGene00065428
caenorhabditis_briggsae	WBGene00023713	ortholog_one2many	WBGene00065430
caenorhabditis_briggsae	WBGene00023713	ortholog_one2many	WBGene00071849
caenorhabditis_briggsae	WBGene00023714	ortholog_one2many	WBGene00065431
caenorhabditis_briggsae	WBGene00023714	ortholog_one2many	WBGene00071848
caenorhabditis_briggsae	WBGene00023715	ortholog_one2one	WBGene00065434
caenorhabditis_briggsae	WBGene00023716	ortholog_one2one	WBGene00065433
caenorhabditis_briggsae	WBGene00023718	ortholog_one2one	WBGene00065435
caenorhabditis_briggsae	WBGene00023719		
caenorhabditis_briggsae	WBGene00023720	ortholog_one2one	WBGene00065437
caenorhabditis_briggsae	WBGene00023721		
caenorhabditis_briggsae	WBGene00023722		
caenorhabditis_briggsae	WBGene00023723		
caenorhabditis_briggsae	WBGene00023724		
caenorhabditis_briggsae	WBGene00023725		
caenorhabditis_briggsae	WBGene00023726		
caenorhabditis_briggsae	WBGene00023727	ortholog_one2one	WBGene00065424
caenorhabditis_briggsae	WBGene00023728		
caenorhabditis_briggsae	WBGene00023729	ortholog_one2many	WBGene00065445
caenorhabditis_briggsae	WBGene00023729	ortholog_one2many	WBGene00077398
caenorhabditis_briggsae	WBGene00023730		
caenorhabditis_briggsae	WBGene00023731	ortholog_one2many	WBGene00061304
caenorhabditis_briggsae	WBGene00023733	ortholog_one2many	WBGene00061307
caenorhabditis_briggsae	WBGene00023733	ortholog_one2many	WBGene00061305
caenorhabditis_briggsae	WBGene00023733	ortholog_one2many	WBGene00067492
caenorhabditis_briggsae	WBGene00023733	ortholog_one2many	WBGene00079786
caenorhabditis_briggsae	WBGene00023734	ortholog_one2one	WBGene00061311
caenorhabditis_briggsae	WBGene00023735	ortholog_one2one	WBGene00061312
caenorhabditis_briggsae	WBGene00023737		
caenorhabditis_briggsae	WBGene00023738	ortholog_one2one	WBGene00061326
caenorhabditis_briggsae	WBGene00023739	ortholog_one2one	WBGene00084309
caenorhabditis_briggsae	WBGene00023740	ortholog_one2one	WBGene00061327
caenorhabditis_briggsae	WBGene00023741	ortholog_one2one	WBGene00061329
caenorhabditis_briggsae	WBGene00023742		
caenorhabditis_briggsae	WBGene00023743		
caenorhabditis_briggsae	WBGene00023744	ortholog_one2one	WBGene00061333
caenorhabditis_briggsae	WBGene00023745	ortholog_many2many	WBGene00083326
caenorhabditis_briggsae	WBGene00023745	ortholog_many2many	WBGene00081279
caenorhabditis_briggsae	WBGene00023745	ortholog_many2many	WBGene00080066
caenorhabditis_briggsae	WBGene00023745	ortholog_many2many	WBGene00086068
caenorhabditis_briggsae	WBGene00023745	ortholog_many2many	WBGene00064276
caenorhabditis_briggsae	WBGene00023745	ortholog_many2many	WBGene00079679
caenorhabditis_briggsae	WBGene00023745	ortholog_many2many	WBGene00068526
caenorhabditis_briggsae	WBGene00023745	ortholog_many2many	WBGene00072635
caenorhabditis_briggsae	WBGene00023745	ortholog_many2many	WBGene00075569
caenorhabditis_briggsae	WBGene00023745	ortholog_many2many	WBGene00083067
caenorhabditis_briggsae	WBGene00023745	ortholog_many2many	WBGene00083900
caenorhabditis_briggsae	WBGene00023745	ortholog_many2many	WBGene00068527
caenorhabditis_briggsae	WBGene00023745	ortholog_many2many	WBGene00061310
caenorhabditis_briggsae	WBGene00023745	ortholog_many2many	WBGene00068521
caenorhabditis_briggsae	WBGene00023745	ortholog_many2many	WBGene00075507
caenorhabditis_briggsae	WBGene00023745	ortholog_many2many	WBGene00070142
caenorhabditis_briggsae	WBGene00023746	ortholog_one2many	WBGene00069374
caenorhabditis_briggsae	WBGene00023746	ortholog_one2many	WBGene00054422
caenorhabditis_briggsae	WBGene00023746	ortholog_one2many	WBGene00054459
caenorhabditis_briggsae	WBGene00023747	ortholog_one2many	WBGene00081306
caenorhabditis_briggsae	WBGene00023747	ortholog_one2many	WBGene00074838
caenorhabditis_briggsae	WBGene00023747	ortholog_one2many	WBGene00072145
caenorhabditis_briggsae	WBGene00023747	ortholog_one2many	WBGene00068513
caenorhabditis_briggsae	WBGene00023747	ortholog_one2many	WBGene00072746
caenorhabditis_briggsae	WBGene00023748	ortholog_one2one	WBGene00061338
caenorhabditis_briggsae	WBGene00023749	ortholog_one2many	WBGene00061340
caenorhabditis_briggsae	WBGene00023749	ortholog_one2many	WBGene00073543
caenorhabditis_briggsae	WBGene00023750	ortholog_one2many	WBGene00061343
caenorhabditis_briggsae	WBGene00023750	ortholog_one2many	WBGene00073596
caenorhabditis_briggsae	WBGene00023751	ortholog_one2many	WBGene00061351
caenorhabditis_briggsae	WBGene00023751	ortholog_one2many	WBGene00061344
caenorhabditis_briggsae	WBGene00023751	ortholog_one2many	WBGene00061345
caenorhabditis_briggsae	WBGene00023752	ortholog_one2one	WBGene00061355
caenorhabditis_briggsae	WBGene00023753	ortholog_one2many	WBGene00082742
caenorhabditis_briggsae	WBGene00023753	ortholog_one2many	WBGene00061360
caenorhabditis_briggsae	WBGene00023753	ortholog_one2many	WBGene00073732
caenorhabditis_briggsae	WBGene00023753	ortholog_one2many	WBGene00061356
caenorhabditis_briggsae	WBGene00023753	ortholog_one2many	WBGene00060744
caenorhabditis_briggsae	WBGene00023753	ortholog_one2many	WBGene00059102
caenorhabditis_briggsae	WBGene00023753	ortholog_one2many	WBGene00061359
caenorhabditis_briggsae	WBGene00023753	ortholog_one2many	WBGene00061357
caenorhabditis_briggsae	WBGene00023753	ortholog_one2many	WBGene00060742
caenorhabditis_briggsae	WBGene00023753	ortholog_one2many	WBGene00068928
caenorhabditis_briggsae	WBGene00023753	ortholog_one2many	WBGene00061362
caenorhabditis_briggsae	WBGene00023753	ortholog_one2many	WBGene00061366
caenorhabditis_briggsae	WBGene00023753	ortholog_one2many	WBGene00061361
caenorhabditis_briggsae	WBGene00023753	ortholog_one2many	WBGene00061358
caenorhabditis_briggsae	WBGene00023755	ortholog_one2one	WBGene00061363
caenorhabditis_briggsae	WBGene00023756	ortholog_one2one	WBGene00061367
caenorhabditis_briggsae	WBGene00023757	ortholog_one2one	WBGene00061368
caenorhabditis_briggsae	WBGene00023758	ortholog_one2one	WBGene00061369
caenorhabditis_briggsae	WBGene00023759	ortholog_one2one	WBGene00061372
caenorhabditis_briggsae	WBGene00023760	ortholog_one2one	WBGene00061373
caenorhabditis_briggsae	WBGene00023761	ortholog_one2one	WBGene00061378
caenorhabditis_briggsae	WBGene00023762	ortholog_one2many	WBGene00061382
caenorhabditis_briggsae	WBGene00023762	ortholog_one2many	WBGene00061380
caenorhabditis_briggsae	WBGene00023763	ortholog_one2many	WBGene00061381
caenorhabditis_briggsae	WBGene00023763	ortholog_one2many	WBGene00061383
caenorhabditis_briggsae	WBGene00023764	ortholog_one2one	WBGene00061385
caenorhabditis_briggsae	WBGene00023765	ortholog_one2one	WBGene00061386
caenorhabditis_briggsae	WBGene00023767	ortholog_one2many	WBGene00061384
caenorhabditis_briggsae	WBGene00023767	ortholog_one2many	WBGene00061388
caenorhabditis_briggsae	WBGene00023769	ortholog_one2one	WBGene00061389
caenorhabditis_briggsae	WBGene00023770	ortholog_one2many	WBGene00057152
caenorhabditis_briggsae	WBGene00023771	ortholog_one2one	WBGene00061390
caenorhabditis_briggsae	WBGene00023772	ortholog_one2one	WBGene00061391
caenorhabditis_briggsae	WBGene00023773	ortholog_one2many	WBGene00067771
caenorhabditis_briggsae	WBGene00023773	ortholog_one2many	WBGene00067772
caenorhabditis_briggsae	WBGene00023773	ortholog_one2many	WBGene00083781
caenorhabditis_briggsae	WBGene00023774	ortholog_one2one	WBGene00072677
caenorhabditis_briggsae	WBGene00023775	ortholog_one2one	WBGene00067827
caenorhabditis_briggsae	WBGene00023776	ortholog_one2one	WBGene00067826
caenorhabditis_briggsae	WBGene00023777	ortholog_one2one	WBGene00069530
caenorhabditis_briggsae	WBGene00023778	ortholog_one2many	WBGene00069531
caenorhabditis_briggsae	WBGene00023778	ortholog_one2many	WBGene00063354
caenorhabditis_briggsae	WBGene00023779	ortholog_many2many	WBGene00083804
caenorhabditis_briggsae	WBGene00023779	ortholog_many2many	WBGene00069533
caenorhabditis_briggsae	WBGene00023780		
caenorhabditis_briggsae	WBGene00023781	ortholog_many2many	WBGene00083804
caenorhabditis_briggsae	WBGene00023781	ortholog_many2many	WBGene00069533
caenorhabditis_briggsae	WBGene00023782	ortholog_one2one	WBGene00069534
caenorhabditis_briggsae	WBGene00023783	ortholog_one2one	WBGene00069535
caenorhabditis_briggsae	WBGene00023784	ortholog_one2many	WBGene00073353
caenorhabditis_briggsae	WBGene00023784	ortholog_one2many	WBGene00074309
caenorhabditis_briggsae	WBGene00023784	ortholog_one2many	WBGene00082739
caenorhabditis_briggsae	WBGene00023784	ortholog_one2many	WBGene00061299
caenorhabditis_briggsae	WBGene00023784	ortholog_one2many	WBGene00073479
caenorhabditis_briggsae	WBGene00023784	ortholog_one2many	WBGene00074310
caenorhabditis_briggsae	WBGene00023785	ortholog_one2one	WBGene00067791
caenorhabditis_briggsae	WBGene00023786	ortholog_one2one	WBGene00067790
caenorhabditis_briggsae	WBGene00023787	ortholog_one2one	WBGene00067789
caenorhabditis_briggsae	WBGene00023788	ortholog_one2one	WBGene00067788
caenorhabditis_briggsae	WBGene00023790	ortholog_one2one	WBGene00067786
caenorhabditis_briggsae	WBGene00023791	ortholog_one2one	WBGene00067785
caenorhabditis_briggsae	WBGene00023792	ortholog_one2one	WBGene00067784
caenorhabditis_briggsae	WBGene00023793	ortholog_one2one	WBGene00067783
caenorhabditis_briggsae	WBGene00023794	ortholog_one2one	WBGene00067782
caenorhabditis_briggsae	WBGene00023795	ortholog_one2one	WBGene00067781
caenorhabditis_briggsae	WBGene00023796	ortholog_one2one	WBGene00067780
caenorhabditis_briggsae	WBGene00023797	ortholog_one2one	WBGene00067779
caenorhabditis_briggsae	WBGene00023798	ortholog_one2one	WBGene00067778
caenorhabditis_briggsae	WBGene00023799	ortholog_one2one	WBGene00067777
caenorhabditis_briggsae	WBGene00023800	ortholog_one2one	WBGene00067776
caenorhabditis_briggsae	WBGene00023801	ortholog_one2one	WBGene00067775
caenorhabditis_briggsae	WBGene00023802	ortholog_one2one	WBGene00083776
caenorhabditis_briggsae	WBGene00023803	ortholog_one2one	WBGene00067774
caenorhabditis_briggsae	WBGene00023804	ortholog_one2one	WBGene00067773
caenorhabditis_briggsae	WBGene00023805	ortholog_one2one	WBGene00069538
caenorhabditis_briggsae	WBGene00023806	ortholog_one2one	WBGene00069539
caenorhabditis_briggsae	WBGene00023807	ortholog_one2one	WBGene00069540
caenorhabditis_briggsae	WBGene00023808	ortholog_one2one	WBGene00069541
caenorhabditis_briggsae	WBGene00023809	ortholog_one2one	WBGene00069542
caenorhabditis_briggsae	WBGene00023810	ortholog_one2one	WBGene00069543
caenorhabditis_briggsae	WBGene00023811	ortholog_one2one	WBGene00069544
caenorhabditis_briggsae	WBGene00023812	ortholog_one2one	WBGene00069545
caenorhabditis_briggsae	WBGene00023813	ortholog_one2one	WBGene00069546
caenorhabditis_briggsae	WBGene00023814	ortholog_one2one	WBGene00069547
