C.brenneri WBID,C.brenneri assignment (CN),C.briggsae WBID,C.briggsae assignment (CN),C.remanei WBID,C.remanei assignment (CN)
WBGene00139470,A,WBGene00029080,A,WBGene00055205,A
WBGene00139478,A,WBGene00041934,A,WBGene00057892,A
WBGene00139479,A,WBGene00025932,A,WBGene00053496,A
WBGene00139496,A,WBGene00040453,A,WBGene00063890,A
WBGene00139512,A,WBGene00038138,A,WBGene00056096,A
WBGene00139513,A,WBGene00037499,A,WBGene00061719,A
WBGene00139515,X,WBGene00035002,X,WBGene00051783,X
WBGene00139522,X,WBGene00025250,X,WBGene00071048,X
WBGene00139524,X,WBGene00034950,X,WBGene00051833,X
WBGene00139531,X,WBGene00029669,X,WBGene00058649,X
WBGene00139545,A,WBGene00038639,A,WBGene00062948,A
WBGene00139547,A,WBGene00024844,A,WBGene00059500,A
WBGene00139548,A,WBGene00040872,A,WBGene00060415,A
WBGene00139549,A,WBGene00041441,A,WBGene00061856,A
WBGene00139551,A,WBGene00041601,A,WBGene00064749,A
WBGene00139556,X,WBGene00027614,X,WBGene00051503,X
WBGene00139568,A,WBGene00030433,A,WBGene00052712,A
WBGene00139569,A,WBGene00039545,A,WBGene00057932,A
WBGene00139572,A,WBGene00030432,A,WBGene00052711,A
WBGene00139575,A,WBGene00030702,A,WBGene00055535,A
WBGene00139582,A,WBGene00030246,A,WBGene00056357,A
WBGene00139590,A,WBGene00023809,A,WBGene00069542,A
WBGene00139599,A,WBGene00037537,A,WBGene00061757,A
WBGene00139612,X,WBGene00036575,X,WBGene00051321,X
WBGene00139613,A,WBGene00031373,A,WBGene00054872,A
WBGene00139624,A,WBGene00034267,A,WBGene00064550,A
WBGene00139638,A,WBGene00024812,A,WBGene00059470,A
WBGene00139645,A,WBGene00036475,A,WBGene00054679,A
WBGene00139648,X,WBGene00030017,X,WBGene00060289,X
WBGene00139653,A,WBGene00035580,A,WBGene00064840,A
WBGene00139658,A,WBGene00033141,A,WBGene00058085,A
WBGene00139661,X,WBGene00029459,X,WBGene00065286,X
WBGene00139666,X,WBGene00029693,X,WBGene00058676,X
WBGene00139668,A,WBGene00040078,A,WBGene00069245,A
WBGene00139671,A,WBGene00028707,A,WBGene00062177,A
WBGene00139675,A,WBGene00039830,A,WBGene00054506,A
WBGene00139677,A,WBGene00037479,A,WBGene00082229,A
WBGene00139690,A,WBGene00024746,A,WBGene00053090,A
WBGene00139693,A,WBGene00033139,A,WBGene00058099,A
WBGene00139701,A,WBGene00086989,A,WBGene00053468,A
WBGene00139702,X,WBGene00036931,X,WBGene00058468,X
WBGene00139704,A,WBGene00023521,A,WBGene00066762,A
WBGene00139707,X,WBGene00036567,X,WBGene00051331,X
WBGene00139708,X,WBGene00035142,X,WBGene00051635,X
WBGene00139713,A,WBGene00031613,A,WBGene00055139,A
WBGene00139715,A,WBGene00039522,A,WBGene00057947,A
WBGene00139720,A,WBGene00039080,A,WBGene00064012,A
WBGene00139725,A,WBGene00027557,A,WBGene00067966,A
WBGene00139731,X,WBGene00035728,X,WBGene00070617,X
WBGene00139734,X,WBGene00029499,X,WBGene00065252,X
WBGene00139744,A,WBGene00034062,A,WBGene00063037,A
WBGene00139756,X,WBGene00027613,X,WBGene00051504,X
WBGene00139759,A,WBGene00024989,A,WBGene00080669,A
WBGene00139765,X,WBGene00035093,X,WBGene00051692,X
WBGene00139776,X,WBGene00029360,X,WBGene00066177,X
WBGene00139784,A,WBGene00030789,A,WBGene00066751,A
WBGene00139789,A,WBGene00026396,A,WBGene00066405,A
WBGene00139795,A,WBGene00031526,A,WBGene00055066,A
WBGene00139797,A,WBGene00026442,A,WBGene00061568,A
WBGene00139806,A,WBGene00035874,A,WBGene00065364,A
WBGene00139812,A,WBGene00038860,A,WBGene00055498,A
WBGene00139813,X,WBGene00025210,X,WBGene00058178,X
WBGene00139818,A,WBGene00025761,A,WBGene00053667,A
WBGene00139826,A,WBGene00039218,A,WBGene00070965,A
WBGene00139835,A,WBGene00040268,A,WBGene00071684,A
WBGene00139836,A,WBGene00028046,A,WBGene00063541,A
WBGene00139840,A,WBGene00033172,A,WBGene00062395,A
WBGene00139850,X,WBGene00032136,X,WBGene00051444,X
WBGene00139851,A,WBGene00027710,A,WBGene00055604,A
WBGene00139861,X,WBGene00037110,X,WBGene00058354,X
WBGene00139870,X,WBGene00029561,X,WBGene00058525,X
WBGene00139885,A,WBGene00036744,A,WBGene00060950,A
WBGene00139892,A,WBGene00037680,A,WBGene00055897,A
WBGene00139893,A,WBGene00041335,A,WBGene00056568,A
WBGene00139894,A,WBGene00039238,A,WBGene00061604,A
WBGene00139901,A,WBGene00029157,A,WBGene00070828,ambiguous
WBGene00139903,X,WBGene00036354,X,WBGene00063267,X
WBGene00139915,A,WBGene00041543,A,WBGene00072428,A
WBGene00139916,A,WBGene00039588,A,WBGene00057523,A
WBGene00139918,A,WBGene00032695,A,WBGene00064339,A
WBGene00139938,A,WBGene00027702,A,WBGene00055684,A
WBGene00139948,A,WBGene00034274,A,WBGene00064570,A
WBGene00139955,A,WBGene00033279,A,WBGene00060054,A
WBGene00139963,A,WBGene00037732,A,WBGene00055849,A
WBGene00139975,A,WBGene00031452,A,WBGene00054999,A
WBGene00139982,X,WBGene00025220,X,WBGene00058168,X
WBGene00139989,A,WBGene00038065,A,WBGene00055970,A
WBGene00139990,A,WBGene00031408,A,WBGene00054958,A
WBGene00139997,A,WBGene00037642,A,WBGene00083512,A
WBGene00140005,A,WBGene00033604,A,WBGene00056140,A
WBGene00140009,A,WBGene00024325,A,WBGene00067225,A
WBGene00140011,A,WBGene00038229,A,WBGene00085718,A
WBGene00140013,A,WBGene00040244,A,WBGene00073078,A
WBGene00140015,A,WBGene00038559,A,WBGene00066844,A
WBGene00140016,X,WBGene00029614,X,WBGene00058603,X
WBGene00140023,A,WBGene00030447,A,WBGene00052728,A
WBGene00140025,X,WBGene00036964,X,WBGene00058259,X
WBGene00140038,A,WBGene00039526,A,WBGene00057943,A
WBGene00140039,A,WBGene00025829,A,WBGene00053597,A
WBGene00140044,A,WBGene00033035,A,WBGene00062313,A
WBGene00140048,A,WBGene00032800,A,WBGene00067918,A
WBGene00140059,A,WBGene00026207,A,WBGene00071916,A
WBGene00140061,X,WBGene00034803,X,WBGene00051954,X
WBGene00140067,A,WBGene00038851,A,WBGene00055489,A
WBGene00140069,A,WBGene00036498,A,WBGene00085207,A
WBGene00140070,A,WBGene00023775,A,WBGene00067827,A
WBGene00140072,X,WBGene00089411,X,WBGene00058802,X
WBGene00140075,A,WBGene00023972,A,WBGene00066429,A
WBGene00140083,A,WBGene00042280,no.read,WBGene00061496,A
WBGene00140085,A,WBGene00035333,A,WBGene00056427,A
WBGene00140086,A,WBGene00032633,A,WBGene00052836,A
WBGene00140106,A,WBGene00035504,A,WBGene00071188,A
WBGene00140110,X,WBGene00032199,X,WBGene00051379,X
WBGene00140112,A,WBGene00029131,A,WBGene00085228,A
WBGene00140124,A,WBGene00035472,A,WBGene00071293,A
WBGene00140128,A,WBGene00039190,A,WBGene00071073,A
WBGene00140132,A,WBGene00027120,A,WBGene00063554,A
WBGene00140134,A,WBGene00037481,A,WBGene00061702,A
WBGene00140135,X,WBGene00025198,X,WBGene00058193,X
WBGene00140136,A,WBGene00023785,A,WBGene00067791,A
WBGene00140140,A,WBGene00031077,A,WBGene00059041,A
WBGene00140142,A,WBGene00029171,A,WBGene00070914,A
WBGene00140143,A,WBGene00027195,A,WBGene00064380,A
WBGene00140144,X,WBGene00036321,X,WBGene00063238,X
WBGene00140151,X,WBGene00029964,X,WBGene00060221,X
WBGene00140155,A,WBGene00041675,A,WBGene00052328,A
WBGene00140159,A,WBGene00023740,A,WBGene00061327,A
WBGene00140160,X,WBGene00034999,X,WBGene00051785,X
WBGene00140161,A,WBGene00025545,A,WBGene00057281,A
WBGene00140169,X,WBGene00034830,X,WBGene00051929,X
WBGene00140176,A,WBGene00027219,A,WBGene00064405,A
WBGene00140189,A,WBGene00042418,no.read,WBGene00055407,A
WBGene00140190,A,WBGene00027183,A,WBGene00064358,A
WBGene00140192,X,WBGene00027747,X,WBGene00058765,X
WBGene00140199,A,WBGene00036430,A,WBGene00069388,A
WBGene00140208,X,WBGene00034949,X,WBGene00051835,X
WBGene00140212,A,WBGene00026097,A,WBGene00053293,A
WBGene00140217,X,WBGene00037043,X,WBGene00058331,X
WBGene00140218,A,WBGene00041504,A,WBGene00066192,A
WBGene00140230,X,WBGene00041226,X,WBGene00083748,X
WBGene00140241,A,WBGene00037395,A,WBGene00062142,A
WBGene00140244,X,WBGene00036592,X,WBGene00051303,X
WBGene00140245,A,WBGene00035859,A,WBGene00065373,A
WBGene00140251,X,WBGene00029403,X,WBGene00066964,X
WBGene00140258,X,WBGene00027168,X,WBGene00058425,X
WBGene00140260,A,WBGene00039140,A,WBGene00072225,A
WBGene00140261,A,WBGene00027062,A,WBGene00070850,A
WBGene00140284,A,WBGene00086738,A,WBGene00070875,A
WBGene00140286,A,WBGene00026417,A,WBGene00061541,A
WBGene00140292,A,WBGene00030881,A,WBGene00058831,A
WBGene00140303,A,WBGene00026153,A,WBGene00053232,A
WBGene00140311,A,WBGene00035978,A,WBGene00055939,A
WBGene00140315,A,WBGene00037590,A,WBGene00061808,A
WBGene00140316,X,WBGene00023691,X,WBGene00051042,X
WBGene00140322,A,WBGene00024202,A,WBGene00062259,A
WBGene00140323,A,WBGene00041622,A,WBGene00064787,A
WBGene00140326,A,WBGene00042398,A,WBGene00061396,A
WBGene00140331,X,WBGene00036203,X,WBGene00077304,X
WBGene00140332,A,WBGene00037819,A,WBGene00055759,A
WBGene00140336,A,WBGene00035620,A,WBGene00064432,A
WBGene00140338,A,WBGene00041086,A,WBGene00070730,A
WBGene00140344,X,WBGene00032202,X,WBGene00051376,X
WBGene00140345,X,WBGene00042606,X,WBGene00060146,X
WBGene00140351,X,WBGene00034854,X,WBGene00051908,X
WBGene00140358,A,WBGene00087413,A,WBGene00055822,A
WBGene00140359,A,WBGene00033497,A,WBGene00064295,A
WBGene00140365,A,WBGene00031060,A,WBGene00059019,A
WBGene00140370,A,WBGene00040873,A,WBGene00060414,A
WBGene00140388,A,WBGene00029820,A,WBGene00067700,A
WBGene00140398,A,WBGene00040612,A,WBGene00064959,A
WBGene00140406,X,WBGene00036300,X,WBGene00077231,X
WBGene00140409,X,WBGene00029929,X,WBGene00060178,X
WBGene00140416,A,WBGene00038346,A,WBGene00052279,A
WBGene00140419,X,WBGene00025065,X,WBGene00063188,X
WBGene00140425,X,WBGene00041207,X,WBGene00058791,X
WBGene00140434,X,WBGene00032170,X,WBGene00051408,X
WBGene00140435,X,WBGene00025216,X,WBGene00058172,X
WBGene00140436,A,WBGene00029148,A,WBGene00071999,A
WBGene00140440,A,WBGene00039697,A,WBGene00057606,A
WBGene00140445,X,WBGene00025160,X,WBGene00058231,X
WBGene00140448,A,WBGene00028959,A,WBGene00052786,A
WBGene00140453,A,WBGene00087513,A,WBGene00064516,A
WBGene00140461,A,WBGene00030901,A,WBGene00058852,A
WBGene00140474,X,WBGene00029482,X,WBGene00065269,X
WBGene00140480,A,WBGene00042640,A,WBGene00055992,A
WBGene00140481,A,WBGene00035342,A,WBGene00056419,A
WBGene00140482,X,WBGene00029937,X,WBGene00060186,X
WBGene00140484,A,WBGene00042180,no.read,WBGene00064964,A
WBGene00140486,A,WBGene00030100,A,WBGene00071315,A
WBGene00140495,A,WBGene00033835,A,WBGene00054378,A
WBGene00140497,A,WBGene00031059,A,WBGene00059018,A
WBGene00140511,A,WBGene00042085,no.read,WBGene00063366,A
WBGene00140512,A,WBGene00030197,A,WBGene00071276,A
WBGene00140513,A,WBGene00037599,A,WBGene00061816,A
WBGene00140518,A,WBGene00032614,A,WBGene00052859,A
WBGene00140519,A,WBGene00033232,A,WBGene00064073,A
WBGene00140520,X,WBGene00035113,X,WBGene00051665,X
WBGene00140522,A,WBGene00041871,A,WBGene00052570,A
WBGene00140538,A,WBGene00040839,A,WBGene00060459,A
WBGene00140541,A,WBGene00038950,A,WBGene00060841,A
WBGene00140550,A,WBGene00038161,A,WBGene00056074,A
WBGene00140554,A,WBGene00040880,A,WBGene00060406,A
WBGene00140560,A,WBGene00035520,A,WBGene00065350,A
WBGene00140561,A,WBGene00028112,A,WBGene00067098,A
WBGene00140564,A,WBGene00029854,A,WBGene00061263,A
WBGene00140568,A,WBGene00030667,A,WBGene00055621,A
WBGene00140571,X,WBGene00041270,X,WBGene00065523,X
WBGene00140573,A,WBGene00030961,A,WBGene00058912,A
WBGene00140575,X,WBGene00037044,X,WBGene00058332,X
WBGene00140576,A,WBGene00042074,A,WBGene00067462,A
WBGene00140588,A,WBGene00040978,A,WBGene00058042,A
WBGene00140590,A,WBGene00039904,A,WBGene00054426,A
WBGene00140596,A,WBGene00026942,A,WBGene00057132,A
WBGene00140615,X,WBGene00036074,X,WBGene00059804,X
WBGene00140618,A,WBGene00031556,A,WBGene00055091,A
WBGene00140620,X,WBGene00036235,X,WBGene00063277,X
WBGene00140621,A,WBGene00039819,A,WBGene00054484,A
WBGene00140627,X,WBGene00036595,X,WBGene00051300,X
WBGene00140629,A,WBGene00038816,A,WBGene00054566,A
WBGene00140636,A,WBGene00037588,A,WBGene00061810,A
WBGene00140637,A,WBGene00037761,A,WBGene00055815,A
WBGene00140638,A,WBGene00024167,A,WBGene00053149,A
WBGene00140642,X,WBGene00034918,X,WBGene00051846,X
WBGene00140651,X,WBGene00036225,X,WBGene00077271,X
WBGene00140652,A,WBGene00040228,A,WBGene00067028,A
WBGene00140672,A,WBGene00026117,A,WBGene00053270,A
WBGene00140675,A,WBGene00031267,A,WBGene00066234,A
WBGene00140681,A,WBGene00027396,A,WBGene00063705,A
WBGene00140685,short,WBGene00037615,A,WBGene00062967,A
WBGene00140686,X,WBGene00025201,X,WBGene00058188,X
WBGene00140687,X,WBGene00036092,X,WBGene00059791,X
WBGene00140700,A,WBGene00030670,A,WBGene00055618,A
WBGene00140701,A,WBGene00025880,A,WBGene00053551,A
WBGene00140703,A,WBGene00042434,A,WBGene00061905,A
WBGene00140711,A,WBGene00026035,A,WBGene00053372,A
WBGene00140713,X,WBGene00037004,X,WBGene00058299,X
WBGene00140719,A,WBGene00037603,A,WBGene00062956,A
WBGene00140730,A,WBGene00030856,A,WBGene00054796,A
WBGene00140732,A,WBGene00025918,A,WBGene00053510,A
WBGene00140739,A,WBGene00037634,A,WBGene00062981,A
WBGene00140744,A,WBGene00030880,A,WBGene00058830,A
WBGene00140746,A,WBGene00032915,A,WBGene00070303,A
WBGene00140765,X,WBGene00041211,X,WBGene00058796,X
WBGene00140772,A,WBGene00023933,A,WBGene00053932,A
WBGene00140784,A,WBGene00037392,A,WBGene00062132,A
WBGene00140786,A,WBGene00031444,A,WBGene00054990,A
WBGene00140791,A,WBGene00028940,A,WBGene00052800,A
WBGene00140798,X,WBGene00036591,X,WBGene00051304,X
WBGene00140799,X,WBGene00023554,X,WBGene00051181,X
WBGene00140800,A,WBGene00041873,A,WBGene00052572,A
WBGene00140805,X,WBGene00036347,X,WBGene00063260,X
WBGene00140811,A,WBGene00024231,A,WBGene00062274,A
WBGene00140812,A,WBGene00041807,A,WBGene00052495,A
WBGene00140817,X,WBGene00029493,X,WBGene00065257,X
WBGene00140821,A,WBGene00033798,A,WBGene00080323,A
WBGene00140834,A,WBGene00032328,A,WBGene00054181,A
WBGene00140838,X,WBGene00029572,X,WBGene00058541,X
WBGene00140839,A,WBGene00031159,A,WBGene00065060,A
WBGene00140848,A,WBGene00036546,A,WBGene00054774,A
WBGene00140849,A,WBGene00033797,A,WBGene00069801,A
WBGene00140850,A,WBGene00030944,A,WBGene00058895,A
WBGene00140851,A,WBGene00026540,A,WBGene00079884,A
WBGene00140858,X,WBGene00023659,X,WBGene00051073,X
WBGene00140868,A,WBGene00039534,A,WBGene00057937,A
WBGene00140873,X,WBGene00036031,X,WBGene00070127,X
WBGene00140876,A,WBGene00025311,A,WBGene00059875,A
WBGene00140884,A,WBGene00025907,A,WBGene00053522,A
WBGene00140885,A,WBGene00033136,A,WBGene00058103,A
WBGene00140886,A,WBGene00032593,A,WBGene00052880,A
WBGene00140894,A,WBGene00030773,A,WBGene00055470,A
WBGene00140895,A,WBGene00029221,A,WBGene00064704,A
WBGene00140907,A,WBGene00031355,A,WBGene00054892,A
WBGene00140908,A,WBGene00042148,A,WBGene00071441,A
WBGene00140909,A,WBGene00038848,A,WBGene00055486,A
WBGene00140919,A,WBGene00036549,A,WBGene00054778,A
WBGene00140920,A,WBGene00023759,A,WBGene00061372,A
WBGene00140924,X,WBGene00023688,X,WBGene00051047,X
WBGene00140927,A,WBGene00041929,A,WBGene00082490,A
WBGene00140928,X,WBGene00035162,X,WBGene00051615,X
WBGene00140935,A,WBGene00032824,A,WBGene00069034,A
WBGene00140943,A,WBGene00030764,A,WBGene00055500,A
WBGene00140954,A,WBGene00037857,A,WBGene00061463,A
WBGene00140956,X,WBGene00025217,X,WBGene00058171,X
WBGene00140958,X,WBGene00029712,X,WBGene00058694,X
WBGene00140967,A,WBGene00024805,A,WBGene00059463,A
WBGene00140968,A,WBGene00041930,A,WBGene00057897,A
WBGene00140970,A,WBGene00025560,A,WBGene00057271,A
WBGene00140984,A,WBGene00037833,A,WBGene00055746,A
WBGene00140987,A,WBGene00035940,A,WBGene00071301,A
WBGene00140989,A,WBGene00026190,A,WBGene00057699,A
WBGene00140997,X,WBGene00036212,X,WBGene00077297,X
WBGene00140998,X,WBGene00029609,X,WBGene00058608,X
WBGene00140999,A,WBGene00031347,A,WBGene00054904,A
WBGene00141004,X,WBGene00037154,X,WBGene00058394,X
WBGene00141007,A,WBGene00023940,A,WBGene00053924,A
WBGene00141015,X,WBGene00032128,X,WBGene00051452,X
WBGene00141016,X,WBGene00034862,X,WBGene00051901,X
WBGene00141021,A,WBGene00023810,A,WBGene00069543,A
WBGene00141026,X,WBGene00029979,X,WBGene00060237,X
WBGene00141029,A,WBGene00036397,A,WBGene00061640,A
WBGene00141050,A,WBGene00035668,A,WBGene00075585,A
WBGene00141051,A,WBGene00039335,A,WBGene00067469,A
WBGene00141065,A,WBGene00029034,A,WBGene00055267,A
WBGene00141075,X,WBGene00025225,X,WBGene00058163,X
WBGene00141076,A,WBGene00033272,A,WBGene00064133,A
WBGene00141077,X,WBGene00025234,X,WBGene00058153,X
WBGene00141081,A,WBGene00031344,A,WBGene00054907,A
WBGene00141084,A,WBGene00031766,A,WBGene00056852,A
WBGene00141097,A,WBGene00038913,A,WBGene00060831,A
WBGene00141108,X,WBGene00036990,X,WBGene00058285,X
WBGene00141109,A,WBGene00041868,A,WBGene00052566,A
WBGene00141114,X,WBGene00034770,X,WBGene00051999,X
WBGene00141117,X,WBGene00036671,X,WBGene00051237,X
WBGene00141120,A,WBGene00038184,A,WBGene00056009,A
WBGene00141121,A,WBGene00032447,A,WBGene00053044,A
WBGene00141127,X,WBGene00036698,X,WBGene00051210,X
WBGene00141129,A,WBGene00031079,A,WBGene00059043,A
WBGene00141138,A,WBGene00037703,A,WBGene00055879,A
WBGene00141148,A,WBGene00027063,A,WBGene00070851,A
WBGene00141152,A,WBGene00025950,A,WBGene00053475,A
WBGene00141154,X,WBGene00035112,X,WBGene00051666,X
WBGene00141166,A,WBGene00036420,A,WBGene00069376,A
WBGene00141177,A,WBGene00025676,A,WBGene00054080,A
